Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria,Croup,Scarlet Fever,Measles,Whooping Cough,Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence
October,1899,Indiana (statewide),2645138,172,211,314,98,14,14,1,5,93,135,54,10,8,87,135
October,1899,Urban,787890,65,66,80,43,4,5,0,2,41,46,24,3,1,28,55
October,1899,Rural,1857248,107,145,234,55,10,9,1,3,52,89,30,7,7,59,80
October,1899,"Cities, class 1",192189,16,17,21,5,2,4,0,1,12,6,3,1,0,5,18
October,1899,"Cities, class 2",114824,8,7,8,5,0,0,0,0,8,7,3,0,0,7,7
October,1899,"Cities, class 3",210866,21,19,25,22,0,0,0,0,4,13,10,0,0,7,13
October,1899,"Cities, class 4",140568,8,11,13,2,0,0,0,0,8,10,5,1,0,7,5
October,1899,"Cities, class 5",129443,12,12,13,9,2,1,0,1,9,10,3,1,1,2,12
November,1899,Indiana (statewide),2645138,269,18,199,111,17,12,0,11,145,64,37,7,7,79,124
November,1899,Urban,787890,104,12,46,52,4,5,0,6,49,17,13,4,3,33,48
November,1899,Rural,1857248,165,6,153,59,13,7,0,5,96,47,24,3,4,46,76
November,1899,"Cities, class 1",192189,37,2,13,12,0,1,0,3,13,4,4,1,1,9,12
November,1899,"Cities, class 2",114824,18,2,5,11,2,1,0,0,7,3,0,1,0,4,5
November,1899,"Cities, class 3",210866,22,4,6,18,1,0,0,2,13,4,2,0,0,9,21
November,1899,"Cities, class 4",140568,13,2,15,3,0,3,0,0,6,3,7,2,2,5,5
November,1899,"Cities, class 5",129443,14,2,7,8,1,0,0,1,10,3,0,0,0,6,5
December,1899,Indiana (statewide),2645138,302,82,138,93,14,20,1,12,252,23,29,8,11,64,136
December,1899,Urban,787890,118,23,50,41,5,10,1,0,83,11,9,4,3,32,55
December,1899,Rural,1857248,184,59,88,52,9,10,0,0,169,12,20,4,8,32,81
December,1899,"Cities, class 1",192189,33,4,8,9,0,4,0,0,30,3,3,1,1,11,15
December,1899,"Cities, class 2",114824,9,3,5,7,1,0,0,0,14,2,1,1,0,8,6
December,1899,"Cities, class 3",210866,37,8,17,16,1,2,1,0,13,5,2,0,1,4,12
December,1899,"Cities, class 4",140568,24,7,13,7,0,0,0,0,10,1,0,1,0,4,14
December,1899,"Cities, class 5",129443,15,1,7,2,3,4,0,0,16,0,3,1,1,5,8
