Month,Year,Region,Population,Scarlet Fever,Measles,Whooping Cough,Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
February,1900,Indiana (statewide),2644980,14,1,20,401,9,58,65,7,78,87,4
February,1900,Northern counties,892448,4,0,9,102,3,8,16,3,27,36,0
February,1900,Central counties,1022694,8,0,8,176,2,31,29,3,34,29,2
February,1900,Southern counties,729838,2,1,3,123,4,19,20,1,17,22,2
February,1900,Urban,790522,4,0,5,145,5,17,17,0,33,42,1
February,1900,Rural,1854458,10,1,15,256,4,41,48,7,45,45,3
February,1900,"Cities, class 1",192189,2,0,2,40,1,7,7,0,8,9,0
February,1900,"Cities, class 2",114824,0,0,1,13,0,2,1,0,4,6,0
February,1900,"Cities, class 3",210866,0,0,2,40,3,3,3,0,8,10,0
February,1900,"Cities, class 4",140568,1,0,1,27,0,2,4,0,10,7,1
February,1900,"Cities, class 5",132075,1,0,0,25,1,3,3,0,3,10,0
March,1900,Indiana (statewide),2644980,14,4,17,594,21,60,97,13,89,100,2
March,1900,Northern counties,892448,0,0,8,147,6,14,26,4,31,26,0
March,1900,Central counties,1022694,13,1,3,270,6,30,42,4,41,40,0
March,1900,Southern counties,729838,1,3,6,177,9,16,29,5,17,34,2
March,1900,Urban,790522,7,2,1,184,9,26,27,6,38,36,1
March,1900,Rural,1854458,7,2,16,410,12,34,70,7,51,74,1
March,1900,"Cities, class 1",192189,5,2,0,58,4,10,7,2,13,8,0
March,1900,"Cities, class 2",114824,0,0,0,29,0,3,3,2,2,4,0
March,1900,"Cities, class 3",210866,0,0,1,40,4,2,8,0,14,9,0
March,1900,"Cities, class 4",140568,1,0,0,33,0,6,3,1,6,7,1
March,1900,"Cities, class 5",132075,1,0,0,24,1,5,6,1,3,8,0
April,1900,Indiana (statewide),2644980,13,23,21,463,18,51,91,13,81,116,2
April,1900,Northern counties,892448,3,9,5,120,6,10,25,4,26,46,0
April,1900,Central counties,1022694,9,6,12,186,8,29,47,3,35,43,2
April,1900,Southern counties,729838,1,8,4,157,4,12,19,6,20,27,0
April,1900,Urban,790522,6,7,10,190,8,22,33,2,34,47,1
April,1900,Rural,1854458,7,16,11,273,10,29,58,11,47,69,1
April,1900,"Cities, class 1",192189,3,2,4,61,4,7,19,0,10,13,0
April,1900,"Cities, class 2",114824,0,1,3,27,1,3,4,1,2,5,0
April,1900,"Cities, class 3",210866,3,0,1,39,2,4,5,1,7,13,1
April,1900,"Cities, class 4",140568,0,4,2,36,1,4,4,0,10,6,0
April,1900,"Cities, class 5",132075,0,0,0,28,0,4,1,0,5,11,0
May,1900,Indiana (statewide),2638483,11,27,27,224,30,71,34,16,105,105,2
May,1900,Northern counties,887525,3,8,9,64,10,21,13,3,38,34,1
May,1900,Central counties,1019903,7,11,11,105,13,25,19,6,45,44,1
May,1900,Southern counties,731055,1,8,7,55,7,25,2,7,22,27,0
May,1900,Urban,808965,5,11,5,102,16,25,16,6,44,37,1
May,1900,Rural,1829518,6,16,22,122,14,46,18,10,61,68,1
May,1900,"Cities, class 1",195273,1,2,0,33,4,10,5,1,16,9,0
May,1900,"Cities, class 2",120604,1,2,0,13,4,2,1,1,5,6,0
May,1900,"Cities, class 3",209745,3,4,3,28,5,10,4,2,8,8,0
May,1900,"Cities, class 4",149048,0,3,2,14,1,3,4,2,8,6,0
May,1900,"Cities, class 5",134295,0,0,0,14,2,2,2,0,7,8,1
June,1900,Indiana (statewide),2638483,10,8,28,102,108,52,18,5,82,120,2
June,1900,Northern counties,887525,3,4,9,30,21,12,8,1,23,38,0
June,1900,Central counties,1019903,7,0,10,56,49,29,9,2,35,39,1
June,1900,Southern counties,731055,0,4,9,16,38,11,1,2,24,43,1
June,1900,Urban,808965,5,4,8,61,59,25,6,1,37,48,1
June,1900,Rural,1829518,5,4,20,41,49,27,12,4,45,72,1
June,1900,"Cities, class 1",195273,2,0,5,34,32,11,2,0,8,6,0
June,1900,"Cities, class 2",120604,1,1,0,11,11,3,0,0,7,14,0
June,1900,"Cities, class 3",209745,1,1,1,6,8,3,1,0,12,10,0
June,1900,"Cities, class 4",149048,0,2,1,7,7,5,3,0,3,8,1
June,1900,"Cities, class 5",134295,1,0,1,3,1,3,0,1,7,10,0
July,1900,Indiana (statewide),2638483,2,9,59,63,539,62,13,7,86,146,3
July,1900,Northern counties,887525,1,3,10,14,112,21,4,3,29,48,0
July,1900,Central counties,1019903,1,4,35,33,265,29,5,3,34,54,1
July,1900,Southern counties,731055,0,2,14,16,162,12,4,1,23,44,2
July,1900,Urban,808965,1,5,27,40,242,27,4,4,36,49,0
July,1900,Rural,1829518,1,4,32,23,297,35,9,3,50,97,3
July,1900,"Cities, class 1",195273,0,0,11,17,89,10,0,1,8,18,0
July,1900,"Cities, class 2",120604,0,3,2,3,37,6,3,0,6,7,0
July,1900,"Cities, class 3",209745,1,1,3,9,58,4,1,2,6,17,0
July,1900,"Cities, class 4",149048,0,0,9,7,33,4,0,1,6,5,0
July,1900,"Cities, class 5",134295,0,1,2,4,25,3,0,0,10,2,0
August,1900,Indiana (statewide),2643484,2,2,42,54,600,75,3,11,81,145,0
August,1900,Northern counties,887525,0,1,9,12,189,22,1,1,27,52,0
August,1900,Central counties,1024904,1,0,22,30,257,31,2,8,34,51,0
August,1900,Southern counties,731055,1,1,11,12,154,22,0,2,20,42,0
August,1900,Urban,808965,2,1,21,21,188,31,1,4,30,59,0
August,1900,Rural,1834519,0,1,21,33,412,44,2,7,51,86,0
August,1900,"Cities, class 1",195273,1,0,8,8,42,7,1,1,12,14,0
August,1900,"Cities, class 2",120604,0,1,2,5,29,6,0,0,7,8,0
