Month,Year,Region,Population,Scarlet Fever,Measles,Whooping Cough,Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
January,1901,Indiana (statewide),2516462,20,9,12,622,8,39,253,16,96,103,2
January,1901,Northern counties,839835,8,2,1,170,4,14,61,7,34,33,2
January,1901,Central counties,1024791,8,4,5,289,0,16,127,6,39,48,0
January,1901,Southern counties,651836,4,3,6,163,4,9,65,3,23,22,0
January,1901,Urban,847302,8,0,3,222,5,15,91,9,42,42,0
January,1901,Rural,1669160,12,9,9,400,3,24,162,7,54,61,2
January,1901,"Cities, class 1",228171,2,0,1,79,1,2,28,3,17,11,0
January,1901,"Cities, class 2",117787,1,0,0,12,1,3,9,3,4,6,0
January,1901,"Cities, class 3",218623,3,0,1,50,2,3,19,0,8,13,0
January,1901,"Cities, class 4",161751,0,0,0,45,1,4,23,1,8,9,0
January,1901,"Cities, class 5",120970,2,0,1,36,0,3,12,2,5,3,0
February,1901,Indiana (statewide),2516462,23,19,27,608,8,43,324,12,86,96,0
February,1901,Northern counties,839835,2,5,4,137,4,11,88,3,36,28,0
February,1901,Central counties,1024791,12,8,11,252,3,16,122,3,32,41,0
February,1901,Southern counties,651836,9,6,12,219,1,16,114,6,18,27,0
February,1901,Urban,847302,7,3,4,167,4,15,93,8,41,42,0
February,1901,Rural,1669160,16,16,23,441,4,28,231,4,45,54,0
February,1901,"Cities, class 1",228171,1,1,1,35,0,1,24,4,11,9,0
February,1901,"Cities, class 2",117787,0,0,1,23,2,2,8,0,10,6,0
February,1901,"Cities, class 3",218623,3,0,2,53,0,1,19,2,8,11,0
February,1901,"Cities, class 4",161751,1,0,0,28,0,5,22,2,7,9,0
February,1901,"Cities, class 5",120970,2,2,0,28,2,6,20,0,5,7,0
March,1901,Indiana (statewide),2516462,24,43,26,603,15,39,174,16,81,114,5
March,1901,Northern counties,839835,7,4,4,166,6,6,54,4,18,41,2
March,1901,Central counties,1024791,14,23,9,253,3,13,70,3,42,49,2
March,1901,Southern counties,651836,3,16,13,184,6,20,50,9,21,24,1
March,1901,Urban,847302,6,6,6,207,6,14,54,3,31,52,1
March,1901,Rural,1669160,18,37,20,396,9,25,120,13,50,62,4
March,1901,"Cities, class 1",228171,3,1,1,48,0,3,14,1,10,12,1
March,1901,"Cities, class 2",117787,1,2,1,30,1,2,5,0,3,6,0
March,1901,"Cities, class 3",218623,1,3,1,48,0,3,14,2,10,17,0
March,1901,"Cities, class 4",161751,0,0,2,48,1,4,14,0,3,10,0
March,1901,"Cities, class 5",120970,1,0,1,33,4,2,7,0,5,7,0
April,1901,Indiana (statewide),2516462,17,37,27,404,15,36,128,24,78,114,0
April,1901,Northern counties,839835,7,7,8,111,8,13,41,7,27,33,0
April,1901,Central counties,1024791,7,17,9,179,1,13,51,9,31,50,0
April,1901,Southern counties,651836,3,13,10,114,6,10,36,8,20,31,0
April,1901,Urban,847302,8,6,8,149,6,17,38,6,44,45,0
April,1901,Rural,1669160,9,31,19,255,9,19,90,18,34,69,0
April,1901,"Cities, class 1",228171,2,3,2,36,0,1,10,2,13,12,0
April,1901,"Cities, class 2",117787,1,1,1,23,1,1,4,0,10,5,0
April,1901,"Cities, class 3",218623,2,0,2,31,2,10,12,2,9,13,0
April,1901,"Cities, class 4",161751,2,2,3,33,2,3,5,2,5,11,0
April,1901,"Cities, class 5",120970,1,0,0,26,1,2,7,0,7,4,0
May,1901,Indiana (statewide),2516462,7,35,15,250,13,27,40,17,76,136,3
May,1901,Northern counties,839835,2,6,6,75,1,9,15,7,27,38,0
May,1901,Central counties,1024791,2,19,6,111,4,12,19,6,29,60,1
May,1901,Southern counties,651836,3,10,3,64,8,6,6,4,20,38,2
May,1901,Urban,847302,3,14,5,116,2,9,17,3,35,68,1
May,1901,Rural,1669160,4,21,10,134,11,18,23,14,41,68,0
May,1901,"Cities, class 1",228171,0,1,0,28,0,1,4,0,8,20,0
May,1901,"Cities, class 2",117787,2,0,2,21,0,2,3,1,7,12,0
May,1901,"Cities, class 3",218623,0,2,2,35,1,3,5,0,11,15,1
