Month,Year,Region,Population,Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
January,1910,Indiana (statewide),2764529,3,16,17,16,400,41,8,78,23,129,165,0
January,1910,Northern counties,931435,0,9,7,2,117,22,6,9,7,41,58,0
January,1910,Central counties,1110947,1,6,10,7,153,9,1,35,9,54,80,0
January,1910,Southern counties,722147,2,1,0,7,130,10,1,34,7,34,27,0
January,1910,"Urban, population over 5,000",1074289,2,7,8,8,189,22,3,27,14,67,91,0
January,1910,"Rural, population under 5,000",1690240,1,9,9,8,211,19,5,51,9,62,74,0
January,1910,"Cities, class 1",411829,1,0,7,1,85,6,0,12,6,29,41,0
January,1910,"Cities, class 2",43599,0,3,0,0,6,0,1,0,1,1,4,0
January,1910,"Cities, class 3",300545,1,2,1,1,51,7,2,6,4,18,22,0
January,1910,"Cities, class 4",179028,0,1,0,2,26,9,1,5,2,10,16,0
January,1910,"Cities, class 5",139288,0,1,0,4,21,0,0,4,1,9,8,0
February,1910,Indiana (statewide),2764529,1,31,51,50,415,34,2,118,11,122,139,1
February,1910,Northern counties,931435,0,21,13,9,121,13,1,20,7,41,43,1
February,1910,Central counties,1110947,0,9,29,24,160,12,1,55,3,59,63,0
February,1910,Southern counties,722147,1,1,9,17,134,9,0,43,1,22,33,0
February,1910,"Urban, population over 5,000",1074289,1,16,18,16,195,24,1,44,7,60,70,1
February,1910,"Rural, population under 5,000",1690240,0,15,33,34,220,10,1,74,4,62,69,0
February,1910,"Cities, class 1",411829,1,2,9,4,81,8,0,20,0,28,25,0
February,1910,"Cities, class 2",43599,0,1,0,0,7,2,0,1,0,2,5,0
February,1910,"Cities, class 3",300545,0,10,4,2,71,7,1,11,2,13,21,0
February,1910,"Cities, class 4",179028,0,1,1,7,18,3,0,7,2,5,11,0
February,1910,"Cities, class 5",139288,0,2,4,3,18,4,0,5,3,12,8,1
March,1910,Indiana (statewide),2764529,1,26,93,35,461,35,9,186,10,156,221,0
March,1910,Northern counties,931435,0,9,21,7,127,16,4,48,3,53,79,0
March,1910,Central counties,1110947,0,12,55,15,214,13,2,89,6,69,100,0
March,1910,Southern counties,722147,1,5,17,13,120,6,3,49,1,34,42,0
March,1910,"Urban, population over 5,000",1074289,0,17,19,13,207,22,4,77,6,79,126,0
March,1910,"Rural, population under 5,000",1690240,1,9,74,22,254,13,5,109,4,77,95,0
March,1910,"Cities, class 1",411829,0,4,11,4,86,1,1,24,2,31,48,0
March,1910,"Cities, class 2",43599,0,2,0,0,8,3,0,2,1,4,3,0
March,1910,"Cities, class 3",300545,0,6,19,2,56,11,1,21,2,16,37,0
March,1910,"Cities, class 4",179028,0,2,2,4,30,5,2,14,1,13,25,0
March,1910,"Cities, class 5",139288,0,3,6,3,27,2,0,16,0,15,13,0
April,1910,Indiana (statewide),2764529,1,21,80,46,236,42,8,86,20,153,175,0
April,1910,Northern counties,931435,0,7,16,7,81,24,2,32,11,51,58,0
April,1910,Central counties,1110947,1,11,36,22,96,10,5,35,7,68,77,0
April,1910,Southern counties,722147,0,3,28,17,59,8,1,19,2,34,40,0
April,1910,"Urban, population over 5,000",1074289,0,13,38,19,141,24,3,34,12,86,95,0
April,1910,"Rural, population under 5,000",1690240,1,8,42,27,95,18,5,52,8,67,80,0
April,1910,"Cities, class 1",411829,0,5,17,8,77,6,2,14,5,30,35,0
April,1910,"Cities, class 2",43599,0,0,0,0,1,3,0,1,1,2,5,0
April,1910,"Cities, class 3",300545,0,3,13,4,36,10,1,7,3,27,29,0
April,1910,"Cities, class 4",179028,0,2,5,7,19,5,0,5,3,14,15,0
April,1910,"Cities, class 5",139288,0,3,3,0,8,0,0,7,0,13,11,0
May,1910,Indiana (statewide),2764529,1,21,82,41,183,60,3,31,13,147,160,0
May,1910,Northern counties,931435,0,12,16,6,57,24,2,8,5,52,73,0
May,1910,Central counties,1110947,1,8,42,20,89,22,0,17,3,64,52,0
May,1910,Southern counties,722147,0,1,24,15,37,14,1,6,5,31,35,0
May,1910,"Urban, population over 5,000",1074289,1,12,45,20,100,38,2,15,10,76,85,0
May,1910,"Rural, population under 5,000",1690240,0,9,37,21,83,22,1,16,3,71,75,0
May,1910,"Cities, class 1",411829,0,9,18,7,48,18,0,2,3,32,31,0
May,1910,"Cities, class 2",43599,0,1,0,0,1,2,0,0,1,2,9,0
May,1910,"Cities, class 3",300545,0,2,14,6,21,7,1,6,2,17,25,0
May,1910,"Cities, class 4",179028,1,0,12,6,19,7,1,6,1,16,15,0
May,1910,"Cities, class 5",139288,0,0,5,1,11,4,0,1,3,9,5,0
June,1910,Indiana (statewide),2820535,1,12,33,36,120,127,10,9,15,139,212,0
June,1910,Northern counties,954042,0,8,9,8,44,28,4,2,6,58,84,0
June,1910,Central counties,1143900,1,4,10,14,54,59,4,4,7,56,88,0
June,1910,Southern counties,722593,0,0,14,14,22,40,2,3,2,25,40,0
June,1910,"Urban, population over 5,000",1149608,0,6,19,23,72,86,5,4,9,67,112,0
June,1910,"Rural, population under 5,000",1670927,1,6,14,13,48,41,5,5,6,72,100,0
June,1910,"Cities, class 1",480717,0,3,6,15,36,45,1,2,2,33,49,0
June,1910,"Cities, class 2",88306,0,0,0,0,5,1,0,0,0,3,3,0
June,1910,"Cities, class 3",281889,0,1,7,4,14,16,2,2,1,17,28,0
June,1910,"Cities, class 4",151568,0,2,6,2,13,17,2,0,2,6,21,0
June,1910,"Cities, class 5",147128,0,0,0,2,4,7,0,0,4,8,11,0
July,1910,Indiana (statewide),2820535,1,11,20,54,50,483,1,10,9,138,234,0
July,1910,Northern counties,954042,0,7,3,8,19,126,0,3,1,50,90,0
July,1910,Central counties,1143900,0,3,10,28,21,199,0,5,4,57,98,0
July,1910,Southern counties,722593,1,1,7,18,10,158,1,2,4,31,46,0
July,1910,"Urban, population over 5,000",1149608,0,5,9,33,32,277,0,9,4,72,128,0
July,1910,"Rural, population under 5,000",1670927,1,6,11,21,18,206,1,1,5,66,106,0
July,1910,"Cities, class 1",480717,0,2,4,17,10,104,0,3,1,24,53,0
July,1910,"Cities, class 2",88306,0,0,1,0,1,19,0,0,0,6,7,0
July,1910,"Cities, class 3",281889,0,0,1,10,12,68,0,1,1,16,21,0
July,1910,"Cities, class 4",151568,0,3,1,4,5,53,0,2,2,14,32,0
July,1910,"Cities, class 5",147128,0,0,2,2,4,33,0,2,0,12,15,0
August,1910,Indiana (statewide),2820535,0,8,18,60,72,524,5,5,9,152,237,0
August,1910,Northern counties,954042,0,5,3,7,24,171,2,1,3,67,78,0
August,1910,Central counties,1143900,0,3,6,31,35,212,1,4,2,57,97,0
August,1910,Southern counties,722593,0,0,9,22,13,141,2,0,4,28,62,0
August,1910,"Urban, population over 5,000",1149608,0,3,7,33,39,231,1,2,5,82,120,0
August,1910,"Rural, population under 5,000",1670927,0,5,11,27,33,293,4,3,4,70,117,0
August,1910,"Cities, class 1",480717,0,2,4,15,21,87,0,1,3,30,46,0
August,1910,"Cities, class 2",88306,0,0,0,0,1,22,0,0,0,7,9,0
August,1910,"Cities, class 3",281889,0,1,1,9,7,73,0,1,1,26,36,0
August,1910,"Cities, class 4",151568,0,0,2,3,7,44,0,0,1,7,17,0
August,1910,"Cities, class 5",147128,0,0,0,6,3,25,1,0,0,12,12,0
September,1910,Indiana (statewide),2820535,0,7,3,26,82,361,8,5,6,137,232,0
September,1910,Northern counties,954042,0,6,1,6,31,161,4,4,4,46,100,0
September,1910,Central counties,1143900,0,1,1,11,34,127,1,0,1,62,92,0
September,1910,Southern counties,722593,0,0,1,9,17,73,3,1,1,29,40,0
September,1910,"Urban, population over 5,000",1149608,0,5,1,10,44,193,2,4,4,83,108,0
September,1910,"Rural, population under 5,000",1670927,0,2,2,16,38,168,6,1,2,54,124,0
September,1910,"Cities, class 1",480717,0,1,1,5,25,71,0,2,2,29,57,0
September,1910,"Cities, class 2",88306,0,0,0,1,3,9,0,0,0,7,7,0
September,1910,"Cities, class 3",281889,0,0,0,2,11,58,1,1,2,25,23,0
September,1910,"Cities, class 4",151568,0,2,0,0,2,39,0,1,0,13,14,0
September,1910,"Cities, class 5",147128,0,2,0,2,3,16,1,0,0,9,7,0
October,1910,Indiana (statewide),2820535,5,11,3,27,143,189,9,8,14,148,182,0
October,1910,Northern counties,954042,1,5,1,7,47,68,5,3,8,48,58,0
