Month,Year,Region,Population,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
March,1911,Indiana (statewide),2700876,31,63,40,359,53,1,1,146,25,155,152,2
March,1911,Northern counties,927229,20,13,10,91,24,0,1,40,9,58,37,1
March,1911,Central counties,1114087,8,24,14,170,15,0,0,54,14,60,74,1
March,1911,Southern counties,659560,3,26,16,98,14,1,0,52,2,37,41,0
March,1911,"Urban, population over 5,000",1140710,14,24,10,170,29,0,1,48,13,65,87,2
March,1911,"Rural, population under 5,000",1560166,17,39,30,189,24,0,0,98,12,90,65,0
March,1911,"Cities, class 1",233650,1,0,3,44,6,0,0,7,2,17,20,0
March,1911,"Cities, class 2",245421,1,6,0,36,7,0,0,5,8,24,14,0
March,1911,"Cities, class 3",130440,1,2,1,17,2,0,0,9,1,6,14,0
March,1911,"Cities, class 4",209556,6,4,4,22,8,0,1,7,1,17,20,1
March,1911,"Cities, class 5",321643,6,12,2,51,6,0,0,20,3,18,19,1
April,1911,Indiana (statewide),2700876,22,89,30,287,42,1,3,90,22,134,173,0
April,1911,Northern counties,927229,9,23,7,91,24,0,1,19,8,51,65,0
April,1911,Central counties,1114087,11,25,13,112,12,0,0,38,9,56,69,0
April,1911,Southern counties,659560,2,41,10,84,6,1,2,33,5,27,39,0
April,1911,"Urban, population over 5,000",1147277,8,34,16,137,24,0,0,26,12,64,95,0
April,1911,"Rural, population under 5,000",1560166,14,55,14,150,18,1,3,64,10,70,78,0
April,1911,"Cities, class 1",233650,2,1,1,34,3,0,0,3,1,12,20,0
April,1911,"Cities, class 2",245421,0,12,4,25,8,0,0,5,3,15,17,0
April,1911,"Cities, class 3",130440,0,3,3,18,2,0,0,8,0,6,8,0
April,1911,"Cities, class 4",209556,3,3,7,22,5,0,0,2,3,12,23,0
April,1911,"Cities, class 5",328210,3,15,1,38,6,0,0,8,5,19,27,0
May,1911,Indiana (statewide),2700876,16,38,45,167,53,5,7,26,24,141,230,0
May,1911,Northern counties,927229,10,12,9,40,25,1,4,6,9,57,86,0
May,1911,Central counties,1114087,6,12,24,66,17,2,1,10,11,51,90,0
May,1911,Southern counties,659560,0,14,12,61,11,2,2,10,4,33,54,0
May,1911,"Urban, population over 5,000",1147277,10,17,18,87,24,1,3,3,12,76,123,0
May,1911,"Rural, population under 5,000",1553599,16,21,27,80,29,4,4,23,12,65,107,0
May,1911,"Cities, class 1",233650,0,1,3,14,2,1,0,5,3,11,21,0
May,1911,"Cities, class 2",245421,6,10,3,19,3,0,1,2,5,20,25,0
May,1911,"Cities, class 3",130440,3,1,4,12,4,0,0,1,0,10,11,0
May,1911,"Cities, class 4",209556,0,1,2,18,10,0,2,3,1,10,22,0
May,1911,"Cities, class 5",328210,1,4,6,24,5,0,0,2,3,25,44,0
