Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox

January,1918,State,2911665,262,36,17,65,22,8,45,470,56,3,2,68,28,215,156,3
January,1918,Northern counties,1016514,70,5,5,25,8,3,24,162,27,1,,20,9,91,50,1
January,1918,Central counties,1208708,118,21,7,29,8,2,11,205,20,2,1,24,9,92,75,2
January,1918,Southern counties,686443,74,10,5,11,6,3,10,103,9,,1,24,10,32,31,
January,1918,All cities,1210486,121,21,7,29,7,3,16,242,32,3,,18,18,104,92,3
January,1918,"Over 100,000",289577,31,10,1,11,3,,1,68,8,1,,2,3,30,33,1
January,1918,"45,000 to 100,000",299257,27,5,4,6,,,3,59,6,1,,3,8,22,21,
January,1918,"20,000 to 45,000",320018,35,1,1,9,,2,10,69,14,1,,7,4,26,26,2
January,1918,"10,000 to 20,000",165854,13,3,1,,3,1,,27,4,,,2,1,14,3,
January,1918,"Under 10,000",135780,15,2,,3,1,,2,19,,,,4,2,12,9,
January,1918,Country,1701179,141,15,10,36,15,5,29,228,24,,2,50,10,111,64,
February,1918,State,2911665,292,50,16,45,17,12,51,349,69,3,,64,26,200,203,7
February,1918,Northern counties,1016514,90,11,5,15,6,4,16,109,50,,,20,2,89,70,1
February,1918,Central counties,1208708,108,29,1,22,8,5,20,151,11,1,,25,20,69,99,3
February,1918,Southern counties,686443,94,10,10,8,3,3,15,89,8,2,,19,4,42,34,3
February,1918,All cities,1210486,137,25,7,22,9,4,19,189,53,2,,17,10,94,106,3
February,1918,"Over 100,000",289577,29,9,1,6,3,1,4,54,2,1,,,2,20,25,1
February,1918,"45,000 to 100,000",299257,29,1,1,5,,,2,47,4,,,3,5,27,24,
February,1918,"20,000 to 45,000",320018,40,8,4,10,1,1,8,45,36,1,,9,1,25,41,1
February,1918,"10,000 to 20,000",165854,22,5,1,,1,1,3,25,,,,3,1,7,8,
February,1918,"Under 10,000",135780,17,2,,1,4,1,2,18,11,,,2,1,15,8,1
February,1918,Country,1701179,155,25,9,23,8,8,32,160,16,1,,47,16,106,97,4
March,1918,State,2911665,360,52,23,42,18,20,77,458,95,6,2,67,32,253,236,2
March,1918,Northern counties,1016514,96,15,16,16,8,5,23,148,63,1,,21,11,104,103,1
March,1918,Central counties,1208708,156,22,3,19,10,7,29,199,25,5,1,23,18,107,84,1
March,1918,Southern counties,686443,108,15,4,7,,8,25,111,7,,1,23,3,42,49,
March,1918,All cities,1210486,152,25,17,18,12,10,37,251,70,4,,26,22,116,128,2
March,1918,"Over 100,000",289577,46,6,1,5,5,1,9,67,8,3,,2,10,28,20,
March,1918,"45,000 to 100,000",299257,40,3,3,2,2,3,3,61,9,,,7,4,27,31,1
March,1918,"20,000 to 45,000",320018,36,12,10,7,1,3,14,81,40,1,,14,3,25,48,
March,1918,"10,000 to 20,000",165854,20,3,1,1,4,3,5,25,7,,,2,3,14,13,1
March,1918,"Under 10,000",135780,10,1,2,3,,,6,17,6,,,1,2,22,16,
March,1918,Country,1701179,208,27,6,24,6,10,40,207,25,2,2,41,10,137,108,
April,1918,State,2911665,383,66,26,47,17,29,108,556,72,11,1,126,29,194,207,3
April,1918,Northern counties,1016514,98,13,11,15,6,8,20,233,42,1,1,48,7,70,82,1
April,1918,Central counties,1208708,183,36,9,26,10,11,63,225,25,8,,44,16,85,84,1
April,1918,Southern counties,686443,102,17,6,6,1,10,25,98,5,2,,34,6,39,41,1
April,1918,All cities,1210486,183,35,14,32,10,9,49,364,57,8,,66,19,94,122,1
April,1918,"Over 100,000",289577,53,11,,9,8,1,10,100,14,4,,7,2,19,24,
April,1918,"45,000 to 100,000",299257,52,6,2,7,,1,13,76,6,3,,22,4,29,29,
April,1918,"20,000 to 45,000",320018,37,10,10,9,1,4,11,125,27,1,,22,7,27,47,
April,1918,"10,000 to 20,000",165854,20,4,1,3,1,2,7,34,1,,,8,3,11,9,1
April,1918,"Under 10,000",135780,21,4,1,4,,2,8,29,9,,,7,3,8,13,
April,1918,Country,1701179,200,31,12,15,7,20,59,192,15,3,1,60,10,100,85,2
May,1918,State,2911665,292,60,19,25,10,26,59,270,56,4,2,51,22,185,198,3
May,1918,Northern counties,1016514,81,19,7,8,3,8,15,103,25,1,2,20,8,73,76,1
May,1918,Central counties,1208708,144,27,7,15,6,8,29,119,18,3,,26,3,81,82,
May,1918,Southern counties,686443,67,14,5,2,1,10,15,48,13,,,5,11,31,40,2
May,1918,All cities,1210486,136,29,10,11,2,6,17,161,30,1,2,21,8,81,90,1
May,1918,"Over 100,000",289577,46,11,,,,,1,44,6,3,,,,22,20,
May,1918,"45,000 to 100,000",299257,22,6,3,6,,1,3,35,3,1,1,4,1,19,21,
May,1918,"20,000 to 45,000",320018,31,4,4,4,,4,8,51,18,,1,6,7,24,29,1
May,1918,"10,000 to 20,000",165854,21,5,2,1,1,1,2,13,1,,,3,,10,10,
May,1918,"Under 10,000",135780,16,3,1,,1,,3,18,2,,,8,,6,10,
May,1918,Country,1701179,156,31,9,14,8,20,42,109,26,3,,30,14,104,108,2
June,1918,State,2911665,279,44,22,14,6,13,31,72,50,3,5,6,4,199,268,1
June,1918,Northern counties,1016514,84,10,10,3,2,4,8,27,14,,1,1,1,81,139,
June,1918,Central counties,1208708,130,23,9,8,3,,11,33,23,2,,5,2,87,95,
June,1918,Southern counties,686443,65,11,3,3,1,9,12,12,13,1,4,,1,31,34,1
June,1918,All cities,1210486,122,17,10,9,1,5,16,42,27,2,3,1,2,81,169,
June,1918,"Over 100,000",289577,33,5,2,6,,,1,17,6,1,,,1,19,26,
June,1918,"45,000 to 100,000",299257,31,3,3,2,,2,5,8,6,1,2,,,21,17,
June,1918,"20,000 to 45,000",320018,36,5,4,1,,,5,14,11,,1,,1,26,104,
June,1918,"10,000 to 20,000",165854,12,1,1,,1,,2,2,1,,,1,,8,10,
June,1918,"Under 10,000",135780,10,3,,,,3,3,1,3,,,,,7,12,
June,1918,Country,1701179,157,27,12,5,5,8,15,30,23,1,2,5,2,118,99,1
July,1918,State,2911665,233,41,23,21,,2,24,70,134,5,2,1,17,203,261,3
July,1918,Northern counties,1016514,76,10,7,5,,1,5,40,45,,,,7,66,116,
