Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
January,1921,Indiana (statewide),2930544,199,39,16,43,24,8,53,444,34,2,0,46,24,223,174,4
January,1921,Northern counties,1055563,63,10,8,19,7,1,20,162,16,1,0,15,6,76,67,4
January,1921,Central counties,1217831,83,20,3,9,16,4,22,186,10,1,0,19,9,101,84,0
January,1921,Southern counties,657150,53,9,5,15,1,3,11,96,8,0,0,12,9,46,23,0
January,1921,"Urban, population over 5,000",1304468,92,16,11,25,13,2,24,224,22,2,0,28,16,111,86,4
January,1921,"Rural, population under 5,000",1626076,107,23,5,18,11,6,29,220,12,0,0,18,8,112,88,0
January,1921,"Cities, population over 100,000",314194,27,6,1,1,6,0,5,55,5,0,0,2,3,32,22,0
January,1921,"Cities, population 45,000 to 100,000",364257,23,5,3,10,2,1,5,70,7,0,0,4,6,22,30,1
January,1921,"Cities, population 20,000 to 45,000",310222,16,2,5,8,1,0,7,39,6,1,0,13,1,31,16,3
January,1921,"Cities, population 10,000 to 20,000",183202,16,3,2,3,3,1,4,43,1,0,0,5,2,17,12,0
January,1921,"Cities, population 5,000 to 10,000",132593,10,0,0,3,1,0,3,17,3,1,0,4,4,9,6,0
February,1921,Indiana (statewide),2930544,167,43,20,36,18,11,45,305,34,4,,52,24,185,190,3
February,1921,Northern counties,1055563,46,9,10,19,7,3,15,116,12,2,,16,7,68,88,2
February,1921,Central counties,1217831,76,23,3,10,9,4,18,130,16,,,21,8,76,66,
February,1921,Southern counties,657150,45,11,7,7,2,4,12,59,6,2,,15,9,41,36,1
February,1921,"Urban, population over 5,000",1304468,74,26,13,20,4,3,17,155,24,3,,24,13,84,87,1
February,1921,"Rural, population under 5,000",1626076,93,17,7,16,14,8,28,150,10,1,,28,11,101,103,2
February,1921,"Cities, population over 100,000",314194,20,9,1,5,2,,2,28,7,,,8,3,19,17,
February,1921,"Cities, population 45,000 to 100,000",364257,20,1,3,9,1,,3,47,7,2,,6,3,20,29,
February,1921,"Cities, population 20,000 to 45,000",310222,15,4,7,3,1,1,4,47,6,1,,4,3,19,24,
February,1921,"Cities, population 10,000 to 20,000",183202,8,7,,3,,1,5,24,3,,,3,3,17,11,1
February,1921,"Cities, population 5,000 to 10,000",132593,11,5,2,,,1,3,9,1,,,3,1,9,6,
March,1921,Indiana (statewide),2930544,230,41,9,28,19,18,46,296,34,3,2,42,19,223,154,1
March,1921,Northern counties,1055563,73,10,3,17,9,9,14,116,14,1,2,14,7,76,65,
