Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1923,Indiana (statewide),2930544,177,19,13,71,10,7,13,560,36,2,3,195,14,241,180,0,25
January,1923,Northern counties,1055563,52,5,1,21,5,7,6,224,17,1,0,64,3,81,60,0,7
January,1923,Central counties,1217831,77,11,6,21,3,0,5,224,15,1,1,76,8,114,83,0,11
January,1923,Southern counties,657150,48,3,6,29,2,0,2,112,4,0,2,55,3,46,37,0,7
January,1923,"Urban, population over 5,000",1304468,83,9,3,28,3,3,8,292,29,1,0,75,10,99,102,0,16
January,1923,"Rural, population under 5,000",1626076,94,10,10,43,7,4,5,268,7,1,3,120,4,142,78,0,9
January,1923,"Cities, population over 100,000",314194,26,2,2,9,0,0,2,62,7,1,0,15,5,26,18,0,3
January,1923,"Cities, population 45,000 to 100,000",364257,21,2,1,11,2,3,5,88,8,0,0,13,3,32,29,0,2
January,1923,"Cities, population 20,000 to 45,000",310222,18,3,1,5,1,0,0,77,10,0,0,27,0,31,28,0,9
January,1923,"Cities, population 10,000 to 20,000",183202,10,0,0,2,0,0,0,38,3,0,0,7,0,19,18,0,2
January,1923,"Cities, population 5,000 to 10,000",132593,8,2,1,1,0,0,1,27,1,0,0,13,2,11,9,0,0
February,1923,Indiana (statewide),2930544,244,37,6,34,11,20,23,688,30,1,0,512,15,252,170,0,17
February,1923,Northern counties,1055563,73,11,4,11,4,12,14,273,12,1,0,187,5,85,71,0,7
February,1923,Central counties,1217831,115,14,1,13,6,0,5,277,10,0,0,218,6,108,69,0,6
February,1923,Southern counties,657150,56,12,1,10,1,8,4,138,8,0,0,107,4,59,30,0,4
February,1923,"Urban, population over 5,000",1304468,84,16,4,18,5,11,16,381,15,1,0,195,12,136,104,0,9
February,1923,"Rural, population under 5,000",1626076,160,21,2,16,6,9,7,307,15,0,0,317,3,116,66,0,8
February,1923,"Cities, population over 100,000",314194,34,6,0,3,0,0,2,92,3,0,0,53,2,42,16,0,2
February,1923,"Cities, population 45,000 to 100,000",364257,28,2,1,8,3,6,2,94,5,0,0,46,2,33,35,0,1
February,1923,"Cities, population 20,000 to 45,000",310222,29,3,3,5,0,2,5,109,4,1,0,48,7,29,30,0,2
February,1923,"Cities, population 10,000 to 20,000",183202,12,5,0,2,1,3,2,52,0,0,0,27,1,20,12,0,2
February,1923,"Cities, population 5,000 to 10,000",132593,9,0,0,0,1,0,5,34,3,0,0,21,0,12,11,0,2
March,1923,Indiana (statewide),2930544,244,51,9,34,11,21,31,508,25,0,1,406,23,233,189,0,21
March,1923,Northern counties,1055563,62,16,5,10,5,13,15,169,5,0,0,151,9,76,82,0,10
March,1923,Central counties,1217831,103,19,2,14,4,2,8,207,12,0,0,182,8,117,77,0,10
March,1923,Southern counties,657150,79,16,2,10,2,6,8,132,8,0,1,73,6,40,30,0,1
March,1923,"Urban, population over 5,000",1304468,102,30,3,16,5,17,19,249,8,0,0,158,14,127,113,0,10
March,1923,"Rural, population under 5,000",1626076,142,21,6,18,6,4,12,259,17,0,1,248,9,106,76,0,11
March,1923,"Cities, population over 100,000",314194,27,6,0,6,2,1,6,69,4,0,0,39,1,37,20,0,0
March,1923,"Cities, population 45,000 to 100,000",364257,25,11,0,6,2,10,8,70,2,0,0,29,6,29,40,0,7
March,1923,"Cities, population 20,000 to 45,000",310222,20,4,2,3,1,3,4,62,2,0,0,45,3,31,37,0,2
March,1923,"Cities, population 10,000 to 20,000",183202,20,3,1,1,0,1,1,29,0,0,0,25,3,15,7,0,1
March,1923,"Cities, population 5,000 to 10,000",132593,10,6,0,0,0,2,0,19,0,0,0,20,1,15,9,0,0
