Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
April,1923,Indiana (statewide),2930544,199,27,4,27,8,45,21,348,30,180,21,240,207,0,20
April,1923,Northern counties,1055563,70,12,3,9,3,27,6,141,9,58,9,87,81,0,8
April,1923,Central counties,1217831,78,12,1,11,4,14,8,148,17,73,6,114,87,0,5
April,1923,Southern counties,657150,51,3,0,7,1,4,7,59,4,49,6,39,39,0,7
April,1923,"Rural, population under 5,000",1337314,109,12,3,15,8,15,8,166,12,116,10,125,95,0,9
April,1923,"Urban, population over 5,000",1593230,90,15,1,12,0,30,13,182,18,64,11,115,112,0,11
May,1923,Indiana (statewide),2930544,218,44,7,19,2,72,22,238,25,92,24,233,217,1,15
May,1923,Northern counties,1055563,58,17,1,4,1,31,9,86,12,35,8,77,92,0,1
May,1923,Central counties,1217831,98,23,3,11,1,21,8,104,10,39,11,123,78,1,13
May,1923,Southern counties,657150,62,4,3,4,0,20,5,48,3,18,5,33,47,0,1
May,1923,"Rural, population under 5,000",1593230,113,19,4,9,0,32,9,104,10,60,12,117,91,0,5
May,1923,"Urban, population over 5,000",1337314,105,25,3,10,2,40,13,134,15,32,12,116,126,1,10
June,1923,Indiana (statewide),2930544,191,35,6,12,7,52,18,110,34,26,15,206,242,0,11
June,1923,Northern counties,1055563,59,8,3,6,6,21,6,53,13,8,2,77,97,0,4
June,1923,Central counties,1217831,82,20,1,2,1,25,8,43,11,13,9,101,96,0,6
June,1923,Southern counties,657150,50,7,2,4,0,6,4,14,10,5,4,28,49,0,1
June,1923,"Rural, population under 5,000",1593230,88,14,4,4,3,16,8,38,16,14,5,94,119,0,3
June,1923,"Urban, population over 5,000",1337314,103,21,2,8,4,36,10,72,18,12,10,112,123,0,8
July,1923,Indiana (statewide),2930544,190,33,15,10,3,9,21,89,102,24,15,276,314,0,21
July,1923,Northern counties,1055563,56,16,6,5,3,3,5,38,18,11,7,103,129,0,6
July,1923,Central counties,1217831,89,10,6,2,0,5,11,36,49,10,5,130,140,0,13
July,1923,Southern counties,657150,45,7,3,1,0,1,5,15,35,3,3,43,45,0,2
July,1923,"Rural, population under 5,000",1593230,104,12,7,8,1,2,11,34,49,12,7,141,156,0,7
July,1923,"Urban, population over 5,000",1337314,86,21,8,2,2,7,10,55,53,12,8,135,158,0,14
August,1923,Indiana (statewide),2930544,163,28,28,9,2,4,27,86,190,27,10,234,267,1,13
August,1923,Northern counties,1055563,40,9,7,5,1,1,9,41,61,6,5,82,109,1,7
August,1923,Central counties,1217831,76,12,14,3,0,2,11,29,71,15,3,108,108,0,6
August,1923,Southern counties,657150,47,7,7,1,1,1,7,16,58,6,2,44,50,0,0
August,1923,"Rural, population under 5,000",1593230,95,20,15,4,0,3,6,28,88,12,5,102,133,0,5
August,1923,"Urban, population over 5,000",1337314,68,8,13,5,2,1,21,58,102,15,5,132,134,1,8
September,1923,Indiana (statewide),2930544,159,45,46,21,5,2,14,94,172,14,11,248,245,1,18
September,1923,Northern counties,1055563,43,17,19,14,3,2,5,29,60,4,2,92,88,0,7
September,1923,Central counties,1217831,76,21,13,5,2,0,8,45,82,6,6,105,114,1,7
September,1923,Southern counties,657150,40,7,14,2,0,0,1,20,30,4,3,51,43,0,4
September,1923,"Rural, population under 5,000",1593230,86,24,24,11,2,1,8,38,67,6,4,132,113,1,6
September,1923,"Urban, population over 5,000",1337314,73,21,22,10,3,1,6,56,105,8,7,116,132,0,12
October,1923,Indiana (statewide),2930544,172,32,23,63,3,1,9,168,115,33,9,249,234,0,26
October,1923,Northern counties,1055563,52,11,7,24,1,1,4,67,39,14,2,91,102,0,10
October,1923,Central counties,1217831,83,10,9,22,2,0,3,73,55,16,6,112,86,0,12
October,1923,Southern counties,657150,37,11,7,17,0,0,2,28,21,3,1,46,46,0,4
October,1923,"Rural, population under 5,000",1593230,87,11,16,30,0,1,4,69,35,22,4,128,109,0,12
October,1923,"Urban, population over 5,000",1337314,85,21,7,33,3,0,5,99,80,11,5,121,125,0,14
November,1923,Indiana (statewide),2930544,157,24,20,69,12,7,27,266,35,47,10,221,245,0,22
November,1923,Northern counties,1055563,37,8,5,23,3,2,9,85,11,14,4,84,105,0,14
November,1923,Central counties,1217831,78,14,9,29,5,4,12,105,18,22,5,101,106,0,5
November,1923,Southern counties,657150,42,2,6,17,4,1,6,76,6,11,1,36,34,0,3
November,1923,"Rural, population under 5,000",1593230,95,15,8,34,6,5,15,118,12,29,2,107,110,0,9
November,1923,"Urban, population over 5,000",1337314,62,9,12,35,6,2,12,148,23,18,8,114,135,0,13
December,1923,Indiana (statewide),2930544,165,18,27,45,8,6,24,239,32,57,13,234,269,1,20
December,1923,Northern counties,1055563,52,7,22,20,3,1,5,87,10,18,1,88,117,1,6
December,1923,Central counties,1217831,73,8,4,12,4,5,13,89,13,25,10,96,110,0,10
December,1923,Southern counties,657150,40,3,1,13,1,0,6,63,9,14,2,50,42,0,4
December,1923,"Rural, population under 5,000",1593230,86,10,7,27,5,6,13,115,14,38,5,110,115,1,13
December,1923,"Urban, population over 5,000",1337314,79,8,20,18,3,0,11,124,18,19,8,124,154,0,7
