Month,Year,Region,Population,Births,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox,Syphilis
January,1929,Indiana (statewide),3200000,4552,4765,197,14,4,16,17,8,19,729,22,921,45,272,247,0,10
January,1929,"Rural, population under 5,000",1636600,2067,2469,97,6,2,10,13,4,12,380,11,566,13,145,92,0,5
January,1929,"Urban, population over 5,000",1563400,2485,2296,100,8,2,6,4,4,7,349,11,355,32,127,155,0,5
February,1929,Indiana (statewide),3200000,4443,3419,163,24,1,14,14,12,15,413,16,320,24,240,182,2,18
February,1929,"Rural, population under 5,000",1636600,2040,1637,91,7,0,5,8,8,10,191,7,192,6,114,74,2,5
February,1929,"Urban, population over 5,000",1563400,2403,1782,72,17,1,9,6,4,5,222,9,128,18,126,108,0,13
March,1929,Indiana (statewide),3200000,5095,3621,182,33,1,10,12,28,17,372,32,178,43,244,239,3,21
March,1929,"Rural, population under 5,000",1636600,2384,1685,91,15,1,5,8,15,8,165,14,107,11,121,97,0,9
March,1929,"Urban, population over 5,000",1563400,2711,1936,91,18,0,5,4,13,9,207,18,71,32,123,142,3,12
April,1929,Indiana (statewide),3200000,4352,3241,191,22,9,13,10,35,20,218,15,95,28,266,236,3,11
April,1929,"Rural, population under 5,000",1636600,2003,1503,95,11,4,5,5,21,12,99,9,50,6,108,83,1,5
April,1929,"Urban, population over 5,000",1563400,2349,1738,96,11,5,8,5,14,8,119,6,45,22,158,153,2,6
May,1929,Indiana (statewide),3200000,4384,3274,178,24,4,9,12,19,19,231,20,57,33,299,267,2,15
May,1929,"Rural, population under 5,000",1636600,2046,1509,89,13,1,4,3,9,10,100,8,37,12,150,106,2,9
May,1929,"Urban, population over 5,000",1563400,2338,1765,89,11,3,5,9,10,9,131,12,20,21,149,161,0,6
June,1929,Indiana (statewide),3200000,4506,2883,183,29,6,4,9,13,17,131,27,34,40,235,278,1,14
June,1929,Rural,1636600,2011,1332,91,10,3,3,0,4,9,40,13,17,6,119,115,1,6
June,1929,Urban,1563400,2495,1551,92,19,3,1,9,9,8,91,14,17,34,116,163,0,8
July,1929,Indiana (statewide),3200000,4984,2823,134,23,19,6,4,1,13,67,69,30,27,289,266,0,14
July,1929,Rural,1636600,2221,1331,69,8,13,4,0,0,7,23,30,20,3,131,106,0,8
July,1929,Urban,1563400,2763,1492,65,15,6,2,4,1,6,44,39,10,24,158,160,0,6
August,1929,Indiana (statewide),3200000,4801,2816,150,21,15,8,5,1,18,103,127,23,32,229,294,0,11
August,1929,Rural,1636600,2215,1325,85,12,13,5,4,0,6,36,49,9,7,100,122,0,4
August,1929,Urban,1563400,2586,1491,65,9,2,3,1,1,12,67,78,14,25,129,172,0,7
September,1929,Indiana (statewide),3200000,4361,2925,133,32,13,11,2,0,11,144,114,27,28,293,333,0,14
September,1929,Rural,1636600,1986,1360,75,18,6,3,0,0,6,51,38,13,10,145,142,0,6
September,1929,Urban,1563400,2375,1565,58,14,7,8,2,0,5,93,76,14,18,148,191,0,8
October,1929,Indiana (statewide),3200000,4359,2943,137,23,15,20,3,2,9,194,64,51,20,274,286,1,18
October,1929,Rural,1636600,1874,1335,65,11,8,8,2,2,4,71,30,28,3,120,97,0,8
October,1929,Urban,1563400,2485,1608,72,12,7,12,1,0,5,123,34,23,17,154,189,1,10
November,1929,Indiana (statewide),3200000,4303,2951,145,25,16,23,5,0,9,202,16,49,24,253,307,0,20
November,1929,Rural,1636600,1930,1355,79,10,8,12,1,0,6,79,11,25,5,119,114,0,8
November,1929,Urban,1563400,2373,1596,66,15,8,11,4,0,3,123,5,24,19,134,193,0,12
December,1929,Indiana (statewide),3200000,4645,3500,165,21,8,18,9,1,9,363,21,111,37,304,260,1,17
December,1929,Rural,1636600,2060,1633,81,8,5,10,9,0,4,160,7,58,10,145,114,1,6
December,1929,Urban,1563400,2585,1867,84,13,3,8,0,1,5,203,14,53,27,159,146,0,11
