Month,Year,Region,Population,Births,Total Deaths,Tuberculosis,Smallpox,Typhoid Fever,Diptheria,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Influenza,Suicide,Accidental,Homicidal,Goiter,Cancer,Puerperal,Syphilis
January,1938,Indiana (statewide),3467000,4664,3672,131,0,2,12,11,11,5,435,8,102,36,227,10,20,347,15,22
January,1938,"Rural, population under 5,000",1807000,2060,1722,69,0,0,5,6,8,0,210,2,59,18,95,0,8,152,5,6
January,1938,"Urban, population over 5,000",1660000,2604,1950,62,0,2,7,5,3,5,225,6,43,18,132,10,12,195,10,16
February,1938,Indiana (statewide),3467000,4229,2973,107,3,0,8,8,22,3,237,10,38,41,165,4,6,303,23,19
February,1938,"Rural, population under 5,000",1807000,1829,1384,60,1,0,3,7,12,2,96,3,23,18,68,0,3,146,9,5
February,1938,"Urban, population over 5,000",1660000,2400,1589,47,2,0,5,1,10,1,141,7,15,23,97,4,3,157,14,14
March,1938,Indiana (statewide),3467000,4707,3307,129,0,0,7,7,21,9,220,8,56,54,167,15,12,329,25,17
March,1938,"Rural, population under 5,000",1807000,1982,1503,72,0,0,2,3,17,4,92,3,33,25,67,0,3,170,5,8
March,1938,"Urban, population over 5,000",1660000,2720,1804,57,0,0,5,4,4,5,128,5,23,29,100,15,9,159,20,9
April,1938,Indiana (statewide),3467000,4394,3000,115,0,1,0,7,20,3,207,6,31,54,160,9,7,330,21,16
April,1938,"Rural, population under 5,000",1807000,1933,1399,59,0,0,0,2,10,2,76,3,19,30,72,2,3,142,11,6
April,1938,"Urban, population over 5,000",1660000,2461,1601,56,0,1,0,5,10,1,131,3,12,24,88,7,4,188,10,10
May,1938,Indiana (statewide),3467000,4625,3046,103,0,1,4,2,20,5,150,10,24,56,187,10,12,323,23,20
May,1938,"Rural, population under 5,000",1807000,2089,1386,55,0,1,2,1,10,1,46,0,16,21,81,4,6,148,8,2
May,1938,"Urban, population over 5,000",1660000,2536,1660,48,0,0,2,1,10,4,104,10,8,35,106,6,6,175,15,18
June,1938,Indiana (statewide),3467000,4396,2786,115,0,1,4,4,6,4,117,36,7,46,210,9,14,293,19,15
June,1938,Rural,1807000,1859,1339,60,0,0,1,2,3,2,37,15,2,25,111,4,4,130,5,9
June,1938,Urban,1660000,2537,1447,55,0,1,3,2,3,2,80,21,5,21,99,5,10,163,14,6
July,1938,Indiana (statewide),3467000,4795,2932,119,0,5,4,2,2,5,92,47,8,51,253,16,17,344,13,19
July,1938,Rural,1807000,2018,1357,58,0,3,1,1,1,4,32,16,5,22,109,3,8,147,3,8
July,1938,Urban,1660000,2777,1575,61,0,2,3,1,1,1,60,31,3,29,144,13,9,197,10,11
August,1938,Indiana (statewide),3467000,5013,2904,115,0,6,1,4,1,6,101,59,18,42,271,16,9,326,20,17
August,1938,Rural,1807000,2127,1293,64,0,3,0,3,1,1,36,16,13,18,122,2,1,139,5,7
August,1938,Urban,1660000,2886,1611,51,0,3,1,1,0,5,65,43,5,24,149,14,8,187,15,10
September,1938,Indiana (statewide),3467000,4636,2799,93,0,4,8,3,0,2,133,41,16,34,225,12,5,288,17,25
September,1938,Rural,1807000,1973,1233,45,0,0,3,1,0,1,46,12,5,14,84,2,2,143,4,5
September,1938,Urban,1660000,2663,1566,48,0,4,5,2,0,1,87,29,11,20,141,10,3,145,13,20
October,1938,Indiana (statewide),3467000,4634,3081,111,0,4,10,4,0,1,198,31,39,51,226,12,12,323,6,22
October,1938,Rural,1807000,1961,1426,55,0,1,3,1,0,1,71,8,12,28,109,1,5,145,2,10
October,1938,Urban,1660000,2673,1655,56,0,3,7,3,0,0,127,23,27,23,117,11,7,178,4,12
November,1938,Indiana (statewide),3467000,4321,3084,101,0,3,13,7,1,0,200,18,38,33,189,18,14,342,7,16
November,1938,Rural,1807000,1850,1388,60,0,0,7,6,0,0,72,6,23,18,67,6,5,158,1,8
November,1938,Urban,1660000,2471,1696,41,0,3,6,1,1,0,128,12,15,15,122,12,9,184,6,8
December,1938,Indiana (statewide),3467000,4498,3390,96,0,0,11,8,2,1,303,17,52,51,239,16,9,309,21,20
December,1938,Rural,1807000,1873,1455,52,0,0,2,3,2,0,115,5,25,26,93,1,3,137,0,9
December,1938,Urban,1660000,2625,1935,44,0,0,9,5,0,1,188,12,27,25,146,15,6,172,21,11
