Month,Year,Region,Apoplexy
January,1936,Indiana (statewide),394
February,1936,Indiana (statewide),419
March,1936,Indiana (statewide),397
April,1936,Indiana (statewide),392
May,1936,Indiana (statewide),359
June,1936,Indiana (statewide),377
July,1936,Indiana (statewide),462
August,1936,Indiana (statewide),319
September,1936,Indiana (statewide),263
October,1936,Indiana (statewide),306
November,1936,Indiana (statewide),359
December,1936,Indiana (statewide),360
January,1937,Indiana (statewide),358
February,1937,Indiana (statewide),349
March,1937,Indiana (statewide),385
April,1937,Indiana (statewide),376
May,1937,Indiana (statewide),333
June,1937,Indiana (statewide),333
July,1937,Indiana (statewide),321
August,1937,Indiana (statewide),287
September,1937,Indiana (statewide),330
October,1937,Indiana (statewide),353
November,1937,Indiana (statewide),351
December,1937,Indiana (statewide),348
January,1938,Indiana (statewide),392
February,1938,Indiana (statewide),338
March,1938,Indiana (statewide),385
April,1938,Indiana (statewide),339
May,1938,Indiana (statewide),367
June,1938,Indiana (statewide),295
July,1938,Indiana (statewide),317
August,1938,Indiana (statewide),304
September,1938,Indiana (statewide),321
October,1938,Indiana (statewide),365
November,1938,Indiana (statewide),374
December,1938,Indiana (statewide),379
January,1939,Indiana (statewide),435
February,1939,Indiana (statewide),397
March,1939,Indiana (statewide),428
April,1939,Indiana (statewide),385
May,1939,Indiana (statewide),409
June,1939,Indiana (statewide),340
July,1939,Indiana (statewide),330
August,1939,Indiana (statewide),288
September,1939,Indiana (statewide),345
October,1939,Indiana (statewide),363
November,1939,Indiana (statewide),379
December,1939,Indiana (statewide),411
