Month,Year,Region,Births,Total Deaths
April,1923,Indiana (statewide),5080,3358
April,1923,Northern counties,1937,1215
April,1923,Central counties,2099,1478
April,1923,Southern counties,1044,665
April,1923,Rural,2587,1719
April,1923,Urban,2493,1639
May,1923,Indiana (statewide),5177,3107
May,1923,Northern counties,1929,1086
May,1923,Central counties,2087,1380
May,1923,Southern counties,1161,641
May,1923,Rural,2624,1581
May,1923,Urban,2553,1526
June,1923,Indiana (statewide),4616,2684
June,1923,Northern counties,1785,978
June,1923,Central counties,1848,1175
June,1923,Southern counties,983,531
June,1923,Rural,2257,1256
June,1923,Urban,2359,1428
July,1923,Indiana (statewide),5369,2740
July,1923,Northern counties,2079,969
July,1923,Central counties,2076,1244
July,1923,Southern counties,1214,527
July,1923,Rural,2724,1334
July,1923,Urban,2645,1406
August,1923,Indiana (statewide),5500,2711
August,1923,Northern counties,2078,920
August,1923,Central counties,2199,1224
August,1923,Southern counties,1223,567
August,1923,Rural,2802,1346
August,1923,Urban,2698,1365
September,1923,Indiana (statewide),5355,2732
September,1923,Northern counties,2003,897
September,1923,Central counties,2128,1238
September,1923,Southern counties,1224,597
September,1923,Rural,2717,1360
September,1923,Urban,2638,1372
October,1923,Indiana (statewide),5150,2753
October,1923,Northern counties,1944,976
October,1923,Central counties,2006,1224
October,1923,Southern counties,1200,553
October,1923,Rural,2619,1351
October,1923,Urban,2531,1402
November,1923,Indiana (statewide),4644,2807
November,1923,Northern counties,1774,971
November,1923,Central counties,1786,1281
November,1923,Southern counties,1084,555
November,1923,Rural,2290,1348
November,1923,Urban,2354,1459
December,1923,Indiana (statewide),4906,2981
December,1923,Northern counties,1775,1066
December,1923,Central counties,2003,1290
December,1923,Southern counties,1128,625
December,1923,Rural,2356,1438
December,1923,Urban,2550,1543
