Month,Year,Region,Diabetes,
January,1936,Indiana (statewide),77
February,1936,Indiana (statewide),52
March,1936,Indiana (statewide),45
April,1936,Indiana (statewide),50
May,1936,Indiana (statewide),55
June,1936,Indiana (statewide),32
July,1936,Indiana (statewide),54
August,1936,Indiana (statewide),34
September,1936,Indiana (statewide),47
October,1936,Indiana (statewide),42
November,1936,Indiana (statewide),37
December,1936,Indiana (statewide),41
January,1937,Indiana (statewide),60
February,1937,Indiana (statewide),48
March,1937,Indiana (statewide),53
April,1937,Indiana (statewide),44
May,1937,Indiana (statewide),33
June,1937,Indiana (statewide),40
July,1937,Indiana (statewide),44
August,1937,Indiana (statewide),30
October,1937,Indiana (statewide),32
November,1937,Indiana (statewide),39
December,1937,Indiana (statewide),48
January,1938,Indiana (statewide),53
February,1938,Indiana (statewide),43
March,1938,Indiana (statewide),53
April,1938,Indiana (statewide),45
May,1938,Indiana (statewide),51
June,1938,Indiana (statewide),48
August,1938,Indiana (statewide),46
September,1938,Indiana (statewide),32
October,1938,Indiana (statewide),44
November,1938,Indiana (statewide),38
December,1938,Indiana (statewide),48
January,1939,Indiana (statewide),46
February,1939,Indiana (statewide),58
March,1939,Indiana (statewide),75
April,1939,Indiana (statewide),42
May,1939,Indiana (statewide),43
June,1939,Indiana (statewide),30
July,1939,Indiana (statewide),33
August,1939,Indiana (statewide),56
September,1939,Indiana (statewide),42
October,1939,Indiana (statewide),49
December,1939,Indiana (statewide),52
