Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
September,1905,Indiana (statewide),3018,255,44,189,29
September,1905,Northern counties,1038,71,11,67,8
September,1905,Central counties,1209,115,20,64,12
September,1905,Southern counties,771,69,13,58,9
September,1905,Urban,1256,93,19,79,14
September,1905,Rural,1762,162,25,110,15
September,1905,"Cities, class 1",322,18,2,13,5
September,1905,"Cities, class 2",196,15,2,14,4
September,1905,"Cities, class 3",312,17,6,22,2
September,1905,"Cities, class 4",249,26,2,15,3
September,1905,"Cities, class 5",177,17,7,15,0
