Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
February,1909,Indiana (statewide),2955,290,68,19,18
February,1909,Northern counties,880,71,17,8,8
February,1909,Central counties,1404,128,37,8,4
February,1909,Southern counties,671,91,14,3,6
February,1909,Urban,1262,142,36,12,9
February,1909,Rural,1693,148,32,7,9
February,1909,"Cities, class 1",469,61,13,3,5
February,1909,"Cities, class 2",78,7,3,1,0
February,1909,"Cities, class 3",328,33,9,6,2
February,1909,"Cities, class 4",201,21,4,1,0
February,1909,"Cities, class 5",186,20,7,1,2
