Month,Year,Region,Meningitis,
July,1931,Indiana (statewide),17
September,1931,Indiana (statewide),5
October,1931,Indiana (statewide),6
November,1931,Indiana (statewide),12
December,1931,Indiana (statewide),18
January,1932,Indiana (statewide),21
February,1932,Indiana (statewide),20
March,1932,Indiana (statewide),25
April,1932,Indiana (statewide),19
May,1932,Indiana (statewide),6
June,1932,Indiana (statewide),4
July,1932,Indiana (statewide),8
August,1932,Indiana (statewide),4
September,1932,Indiana (statewide),7
October,1932,Indiana (statewide),3
November,1932,Indiana (statewide),2
December,1932,Indiana (statewide),9
January,1933,Indiana (statewide),5
February,1933,Indiana (statewide),5
March,1933,Indiana (statewide),7
April,1933,Indiana (statewide),11
May,1933,Indiana (statewide),3
June,1933,Indiana (statewide),2
July,1933,Indiana (statewide),2
September,1933,Indiana (statewide),5
October,1933,Indiana (statewide),1
November,1933,Indiana (statewide),2
December,1933,Indiana (statewide),4
February,1934,Indiana (statewide),1
April,1934,Indiana (statewide),3
May,1934,Indiana (statewide),4
September,1934,Indiana (statewide),1
April,1935,Indiana (statewide),12
May,1935,Indiana (statewide),15
June,1935,Indiana (statewide),6
August,1935,Indiana (statewide),1
September,1935,Indiana (statewide),4
October,1935,Indiana (statewide),3
November,1935,Indiana (statewide),4
December,1935,Indiana (statewide),8
