Month,Year,Region,Total Deaths,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria
January,1902,Indiana (statewide),2829,337,50,71,40
January,1902,Northern counties,845,90,13,17,15
January,1902,Central counties,1210,134,18,32,13
January,1902,Southern counties,774,113,19,22,12
January,1902,Urban,1120,134,20,30,18
January,1902,Rural,1709,203,30,41,22
January,1902,"Cities, class 1",290,38,5,4,5
January,1902,"Cities, class 2",132,13,3,2,1
January,1902,"Cities, class 3",311,28,6,12,4
January,1902,"Cities, class 4",211,33,1,10,3
January,1902,"Cities, class 5",176,22,5,2,5
February,1902,Indiana (statewide),2874,337,38,38,26
February,1902,Northern counties,848,97,8,6,5
February,1902,Central counties,1266,148,19,21,14
February,1902,Southern counties,760,92,11,11,7
February,1902,Urban,1148,144,12,16,15
February,1902,Rural,1726,193,26,22,11
February,1902,"Cities, class 1",302,43,4,6,3
February,1902,"Cities, class 2",145,20,0,1,1
February,1902,"Cities, class 3",293,32,4,3,7
February,1902,"Cities, class 4",241,28,3,4,2
February,1902,"Cities, class 5",167,21,1,2,2
March,1902,Indiana (statewide),3045,413,44,39,26
March,1902,Northern counties,960,105,15,14,7
March,1902,Central counties,1342,187,23,18,12
March,1902,Southern counties,743,121,6,7,7
March,1902,Urban,1207,145,14,17,11
March,1902,Rural,1838,268,30,22,15
March,1902,"Cities, class 1",279,42,1,2,1
March,1902,"Cities, class 2",192,16,2,2,2
March,1902,"Cities, class 3",353,39,3,7,7
March,1902,"Cities, class 4",212,29,5,4,1
March,1902,"Cities, class 5",171,19,3,2,0
April,1902,Indiana (statewide),2716,381,48,41,24
April,1902,Northern counties,886,101,10,14,7
April,1902,Central counties,1098,159,26,15,6
April,1902,Southern counties,732,121,12,12,11
April,1902,Urban,1166,141,27,16,10
April,1902,Rural,1550,240,21,25,14
April,1902,"Cities, class 1",328,35,4,6,4
April,1902,"Cities, class 2",158,15,2,2,2
April,1902,"Cities, class 3",302,39,10,5,2
April,1902,"Cities, class 4",216,23,6,3,1
April,1902,"Cities, class 5",162,29,5,0,1
May,1902,Indiana (statewide),2502,344,49,32,26
May,1902,Northern counties,808,113,17,8,6
May,1902,Central counties,1090,128,20,13,13
May,1902,Southern counties,604,103,12,11,7
May,1902,Urban,1065,125,23,9,20
May,1902,Rural,1437,219,26,23,6
May,1902,"Cities, class 1",234,41,6,2,1
May,1902,"Cities, class 2",154,11,6,1,1
May,1902,"Cities, class 3",290,24,3,5,17
May,1902,"Cities, class 4",229,27,4,1,0
May,1902,"Cities, class 5",158,22,4,0,1
June,1902,Indiana (statewide),2164,253,33,29,10
June,1902,Northern counties,630,57,12,7,1
June,1902,Central counties,927,107,13,8,8
June,1902,Southern counties,607,89,8,14,1
June,1902,Urban,994,129,14,12,10
June,1902,Rural,1170,124,19,17,0
June,1902,"Cities, class 1",276,34,7,4,1
June,1902,"Cities, class 2",155,17,1,1,2
June,1902,"Cities, class 3",261,32,1,4,7
June,1902,"Cities, class 4",171,29,2,2,0
June,1902,"Cities, class 5",131,17,3,1,0
July,1902,Indiana (statewide),2907,292,23,83,7
July,1902,Northern counties,763,68,4,20,4
July,1902,Central counties,1355,140,9,40,3
July,1902,Southern counties,789,84,10,23,0
July,1902,Urban,1230,121,12,32,5
July,1902,Rural,1677,171,11,51,2
July,1902,"Cities, class 1",331,30,3,8,0
July,1902,"Cities, class 2",159,19,1,3,1
July,1902,"Cities, class 3",354,35,5,14,2
July,1902,"Cities, class 4",217,19,2,5,2
July,1902,"Cities, class 5",169,18,1,2,0
August,1902,Indiana (statewide),3158,275,38,167,20
August,1902,Northern counties,1006,59,10,34,4
August,1902,Central counties,1398,115,17,82,12
