Month,Year,Region,Total Deaths
February,1912,Indiana (statewide),2985
February,1912,Northern counties,955
February,1912,Central counties,1289
February,1912,Southern counties,741
February,1912,Urban,1418
February,1912,Rural,1567
February,1912,"Cities, class 1",317
February,1912,"Cities, class 2",292
February,1912,"Cities, class 3",146
February,1912,"Cities, class 4",252
February,1912,"Cities, class 5",411
March,1912,Indiana (statewide),3375
March,1912,Northern counties,1114
March,1912,Central counties,1492
March,1912,Southern counties,769
March,1912,Urban,1589
March,1912,Rural,1786
March,1912,"Cities, class 1",366
March,1912,"Cities, class 2",308
March,1912,"Cities, class 3",189
March,1912,"Cities, class 4",287
March,1912,"Cities, class 5",439
April,1912,Indiana (statewide),3117
April,1912,Northern counties,1088
April,1912,Central counties,1355
April,1912,Southern counties,674
April,1912,Urban,1540
April,1912,Rural,1577
April,1912,"Cities, class 1",301
April,1912,"Cities, class 2",268
April,1912,"Cities, class 3",193
April,1912,"Cities, class 4",330
April,1912,"Cities, class 5",448
May,1912,Indiana (statewide),2622
May,1912,Northern counties,900
May,1912,Central counties,1160
May,1912,Southern counties,562
May,1912,Urban,1365
May,1912,Rural,1257
May,1912,"Cities, class 1",322
May,1912,"Cities, class 2",262
May,1912,"Cities, class 3",150
May,1912,"Cities, class 4",255
May,1912,"Cities, class 5",376
June,1912,Indiana (statewide),2365
June,1912,Northern counties,841
June,1912,Central counties,988
June,1912,Southern counties,536
June,1912,Urban,1172
June,1912,Rural,1193
June,1912,"Cities, class 1",238
June,1912,"Cities, class 2",231
June,1912,"Cities, class 3",133
June,1912,"Cities, class 4",242
June,1912,"Cities, class 5",329
July,1912,Indiana (statewide),2810
July,1912,Northern counties,1021
July,1912,Central counties,1129
July,1912,Southern counties,660
July,1912,Urban,1326
July,1912,Rural,1484
July,1912,"Cities, class 1",286
July,1912,"Cities, class 2",262
July,1912,"Cities, class 3",138
July,1912,"Cities, class 4",247
July,1912,"Cities, class 5",393
August,1912,Indiana (statewide),2896
August,1912,Northern counties,954
August,1912,Central counties,1242
August,1912,Southern counties,700
August,1912,Urban,1430
August,1912,Rural,1466
August,1912,"Cities, class 1",292
August,1912,"Cities, class 2",277
August,1912,"Cities, class 3",166
August,1912,"Cities, class 4",300
August,1912,"Cities, class 5",394
September,1912,Indiana (statewide),2802
September,1912,Northern counties,864
September,1912,Central counties,1196
September,1912,Southern counties,742
September,1912,Urban,1372
September,1912,Rural,1430
September,1912,"Cities, class 1",291
September,1912,"Cities, class 2",225
September,1912,"Cities, class 3",168
September,1912,"Cities, class 4",267
September,1912,"Cities, class 5",421
October,1912,Indiana (statewide),2864
October,1912,Northern counties,889
October,1912,Central counties,1234
October,1912,Southern counties,741
October,1912,Urban,1515
October,1912,Rural,1349
October,1912,"Cities, class 1",313
October,1912,"Cities, class 2",278
October,1912,"Cities, class 3",183
October,1912,"Cities, class 4",287
October,1912,"Cities, class 5",454
November,1912,Indiana (statewide),2627
November,1912,Northern counties,869
November,1912,Central counties,1103
November,1912,Southern counties,655
November,1912,Urban,1306
November,1912,Rural,1321
November,1912,"Cities, class 1",237
November,1912,"Cities, class 2",284
November,1912,"Cities, class 3",137
November,1912,"Cities, class 4",244
November,1912,"Cities, class 5",404
December,1912,Indiana (statewide),3115
December,1912,Northern counties,1009
December,1912,Central counties,1310
December,1912,Southern counties,796
December,1912,Urban,1525
December,1912,Rural,1590
December,1912,"Cities, class 1",315
December,1912,"Cities, class 2",322
December,1912,"Cities, class 3",169
December,1912,"Cities, class 4",304
December,1912,"Cities, class 5",415
