Month,Year,Region,Total Deaths
January,1913,Indiana (statewide),3237
January,1913,Northern counties,1085
January,1913,Central counties,1400
January,1913,Southern counties,752
January,1913,Urban,1550
January,1913,Rural,1687
January,1913,"Cities, class 1",320
January,1913,"Cities, class 2",307
January,1913,"Cities, class 3",181
January,1913,"Cities, class 4",297
January,1913,"Cities, class 5",445
February,1913,Indiana (statewide),3008
February,1913,Northern counties,1049
February,1913,Central counties,1236
February,1913,Southern counties,723
February,1913,Urban,1519
February,1913,Rural,1489
February,1913,"Cities, class 1",298
February,1913,"Cities, class 2",338
February,1913,"Cities, class 3",166
February,1913,"Cities, class 4",321
February,1913,"Cities, class 5",396
March,1913,Indiana (statewide),3558
March,1913,Northern counties,1260
March,1913,Central counties,1505
March,1913,Southern counties,793
March,1913,Urban,1800
March,1913,Rural,1758
March,1913,"Cities, class 1",392
March,1913,"Cities, class 2",365
March,1913,"Cities, class 3",191
March,1913,"Cities, class 4",370
March,1913,"Cities, class 5",482
April,1913,Indiana (statewide),3050
April,1913,Northern counties,1033
April,1913,Central counties,1286
April,1913,Southern counties,731
April,1913,Urban,1593
April,1913,Rural,1457
April,1913,"Cities, class 1",334
April,1913,"Cities, class 2",309
April,1913,"Cities, class 3",228
April,1913,"Cities, class 4",291
April,1913,"Cities, class 5",431
May,1913,Indiana (statewide),2872
May,1913,Northern counties,1053
May,1913,Central counties,1189
May,1913,Southern counties,630
May,1913,Urban,1441
May,1913,Rural,1431
May,1913,"Cities, class 1",262
May,1913,"Cities, class 2",301
May,1913,"Cities, class 3",205
May,1913,"Cities, class 4",297
May,1913,"Cities, class 5",376
June,1913,Indiana (statewide),2883
June,1913,Northern counties,995
June,1913,Central counties,1232
June,1913,Southern counties,656
June,1913,Urban,1499
June,1913,Rural,1384
June,1913,"Cities, class 1",346
June,1913,"Cities, class 2",306
June,1913,"Cities, class 3",195
June,1913,"Cities, class 4",254
June,1913,"Cities, class 5",398
July,1913,Indiana (statewide),2962
July,1913,Northern counties,922
July,1913,Central counties,1264
July,1913,Southern counties,776
July,1913,Urban,1531
July,1913,Rural,1431
July,1913,"Cities, class 1",334
July,1913,"Cities, class 2",318
July,1913,"Cities, class 3",233
July,1913,"Cities, class 4",232
July,1913,"Cities, class 5",414
August,1913,Indiana (statewide),3155
August,1913,Northern counties,1050
August,1913,Central counties,1367
August,1913,Southern counties,738
August,1913,Urban,1633
August,1913,Rural,1522
August,1913,"Cities, class 1",360
August,1913,"Cities, class 2",332
August,1913,"Cities, class 3",238
August,1913,"Cities, class 4",283
August,1913,"Cities, class 5",420
September,1913,Indiana (statewide),2810
September,1913,Northern counties,1000
September,1913,Central counties,1168
September,1913,Southern counties,642
September,1913,Urban,1442
September,1913,Rural,1368
September,1913,"Cities, class 1",312
September,1913,"Cities, class 2",280
September,1913,"Cities, class 3",212
September,1913,"Cities, class 4",279
September,1913,"Cities, class 5",359
October,1913,Indiana (statewide),2833
October,1913,Northern counties,928
October,1913,Central counties,1215
October,1913,Southern counties,690
October,1913,Urban,1416
October,1913,Rural,1417
October,1913,"Cities, class 1",311
October,1913,"Cities, class 2",273
October,1913,"Cities, class 3",212
October,1913,"Cities, class 4",232
October,1913,"Cities, class 5",388
November,1913,Indiana (statewide),2733
November,1913,Northern counties,920
November,1913,Central counties,1138
November,1913,Southern counties,675
November,1913,Urban,1437
November,1913,Rural,1296
November,1913,"Cities, class 1",339
November,1913,"Cities, class 2",300
November,1913,"Cities, class 3",169
November,1913,"Cities, class 4",238
November,1913,"Cities, class 5",391
December,1913,Indiana (statewide),2659
December,1913,Northern counties,889
December,1913,Central counties,1167
December,1913,Southern counties,603
December,1913,Urban,1407
December,1913,Rural,1252
December,1913,"Cities, class 1",298
December,1913,"Cities, class 2",277
December,1913,"Cities, class 3",194
December,1913,"Cities, class 4",262
December,1913,"Cities, class 5",376
