Month,Year,Region,Total Deaths
January,1915,Indiana (statewide),3103
January,1915,Northern counties,943
January,1915,Central counties,1389
January,1915,Southern counties,771
January,1915,Urban,1613
January,1915,Rural,1490
January,1915,"Cities, class 1",390
January,1915,"Cities, class 2",309
January,1915,"Cities, class 3",343
January,1915,"Cities, class 4",151
January,1915,"Cities, class 5",420
February,1915,Indiana (statewide),3307
February,1915,Northern counties,1088
February,1915,Central counties,1422
February,1915,Southern counties,797
February,1915,Urban,1630
February,1915,Rural,1677
February,1915,"Cities, class 1",362
February,1915,"Cities, class 2",331
February,1915,"Cities, class 3",345
February,1915,"Cities, class 4",181
February,1915,"Cities, class 5",411
March,1915,Indiana (statewide),3732
March,1915,Northern counties,1257
March,1915,Central counties,1619
March,1915,Southern counties,856
March,1915,Urban,1787
March,1915,Rural,1945
March,1915,"Cities, class 1",400
March,1915,"Cities, class 2",352
March,1915,"Cities, class 3",397
March,1915,"Cities, class 4",160
March,1915,"Cities, class 5",478
April,1915,Indiana (statewide),3212
April,1915,Northern counties,1078
April,1915,Central counties,1434
April,1915,Southern counties,700
April,1915,Urban,1552
April,1915,Rural,1660
April,1915,"Cities, class 1",353
April,1915,"Cities, class 2",306
April,1915,"Cities, class 3",311
April,1915,"Cities, class 4",161
April,1915,"Cities, class 5",421
May,1915,Indiana (statewide),2669
May,1915,Northern counties,932
May,1915,Central counties,1187
May,1915,Southern counties,550
May,1915,Urban,1321
May,1915,Rural,1348
May,1915,"Cities, class 1",300
May,1915,"Cities, class 2",252
May,1915,"Cities, class 3",286
May,1915,"Cities, class 4",139
May,1915,"Cities, class 5",344
June,1915,Indiana (statewide),2360
June,1915,Northern counties,820
June,1915,Central counties,1034
June,1915,Southern counties,506
June,1915,Urban,1220
June,1915,Rural,1140
June,1915,"Cities, class 1",268
June,1915,"Cities, class 2",241
June,1915,"Cities, class 3",268
June,1915,"Cities, class 4",137
June,1915,"Cities, class 5",306
July,1915,Indiana (statewide),2554
July,1915,Northern counties,808
July,1915,Central counties,1114
July,1915,Southern counties,632
July,1915,Urban,1316
July,1915,Rural,1238
July,1915,"Cities, class 1",285
July,1915,"Cities, class 2",269
July,1915,"Cities, class 3",303
July,1915,"Cities, class 4",133
July,1915,"Cities, class 5",326
August,1915,Indiana (statewide),2526
August,1915,Northern counties,872
August,1915,Central counties,1104
August,1915,Southern counties,550
August,1915,Urban,1234
August,1915,Rural,1292
August,1915,"Cities, class 1",264
August,1915,"Cities, class 2",237
August,1915,"Cities, class 3",309
August,1915,"Cities, class 4",118
August,1915,"Cities, class 5",306
September,1915,Indiana (statewide),2672
September,1915,Northern counties,911
September,1915,Central counties,1151
September,1915,Southern counties,610
September,1915,Urban,1369
September,1915,Rural,1303
September,1915,"Cities, class 1",275
September,1915,"Cities, class 2",275
September,1915,"Cities, class 3",303
September,1915,"Cities, class 4",139
September,1915,"Cities, class 5",377
October,1915,Indiana (statewide),2646
October,1915,Northern counties,907
October,1915,Central counties,1148
October,1915,Southern counties,591
October,1915,Urban,1360
October,1915,Rural,1286
October,1915,"Cities, class 1",314
October,1915,"Cities, class 2",290
October,1915,"Cities, class 3",292
October,1915,"Cities, class 4",135
October,1915,"Cities, class 5",329
November,1915,Indiana (statewide),2699
November,1915,Northern counties,868
November,1915,Central counties,1187
November,1915,Southern counties,644
November,1915,Urban,1380
November,1915,Rural,1319
November,1915,"Cities, class 1",342
November,1915,"Cities, class 2",284
November,1915,"Cities, class 3",287
November,1915,"Cities, class 4",160
November,1915,"Cities, class 5",307
December,1915,Indiana (statewide),3122
December,1915,Northern counties,1009
December,1915,Central counties,1372
December,1915,Southern counties,741
December,1915,Urban,1554
December,1915,Rural,1568
December,1915,"Cities, class 1",359
December,1915,"Cities, class 2",304
December,1915,"Cities, class 3",369
December,1915,"Cities, class 4",151
December,1915,"Cities, class 5",371
