Month,Year,Region,Total Deaths
January,1918,Indiana (statewide),3502
January,1918,Northern counties,1229
January,1918,Central counties,1509
January,1918,Southern counties,764
January,1918,Urban,1688
January,1918,Rural,1814
January,1918,"Cities, class 1",468
January,1918,"Cities, class 2",385
January,1918,"Cities, class 3",477
January,1918,"Cities, class 4",190
January,1918,"Cities, class 5",168
February,1918,Indiana (statewide),3266
February,1918,Northern counties,1156
February,1918,Central counties,1333
February,1918,Southern counties,777
February,1918,Urban,1560
February,1918,Rural,1706
February,1918,"Cities, class 1",352
February,1918,"Cities, class 2",364
February,1918,"Cities, class 3",482
February,1918,"Cities, class 4",178
February,1918,"Cities, class 5",184
March,1918,Indiana (statewide),3737
March,1918,Northern counties,1351
March,1918,Central counties,1559
March,1918,Southern counties,827
March,1918,Urban,1789
March,1918,Rural,1948
March,1918,"Cities, class 1",436
March,1918,"Cities, class 2",398
March,1918,"Cities, class 3",553
March,1918,"Cities, class 4",229
March,1918,"Cities, class 5",173
April,1918,Indiana (statewide),3959
April,1918,Northern counties,1388
April,1918,Central counties,1759
April,1918,Southern counties,812
April,1918,Urban,2028
April,1918,Rural,1931
April,1918,"Cities, class 1",522
April,1918,"Cities, class 2",469
April,1918,"Cities, class 3",602
April,1918,"Cities, class 4",209
April,1918,"Cities, class 5",226
May,1918,Indiana (statewide),3196
May,1918,Northern counties,1111
May,1918,Central counties,1420
May,1918,Southern counties,665
May,1918,Urban,1482
May,1918,Rural,1714
May,1918,"Cities, class 1",406
May,1918,"Cities, class 2",330
May,1918,"Cities, class 3",405
May,1918,"Cities, class 4",183
May,1918,"Cities, class 5",158
