Month,Year,Region,Births,Total Deaths
June,1918,Indiana (statewide),5207,2602
June,1918,Northern counties,2058,911
June,1918,Central counties,2029,1161
June,1918,Southern counties,1120,530
June,1918,Urban,2308,1248
June,1918,Rural,2899,1354
June,1918,"Cities, class 1",497,300
June,1918,"Cities, class 2",506,271
June,1918,"Cities, class 3",758,402
June,1918,"Cities, class 4",293,158
June,1918,"Cities, class 5",254,117
July,1918,Indiana (statewide),5370,2665
July,1918,Northern counties,2075,945
July,1918,Central counties,2161,1152
July,1918,Southern counties,1134,568
July,1918,Urban,2339,1232
July,1918,Rural,3031,1433
July,1918,"Cities, class 1",547,323
July,1918,"Cities, class 2",525,273
July,1918,"Cities, class 3",735,361
July,1918,"Cities, class 4",293,139
July,1918,"Cities, class 5",239,136
August,1918,Indiana (statewide),5441,2833
August,1918,Northern counties,2150,982
August,1918,Central counties,2136,1215
August,1918,Southern counties,1155,636
August,1918,Urban,2428,1293
August,1918,Rural,3013,1540
August,1918,"Cities, class 1",553,320
August,1918,"Cities, class 2",552,288
August,1918,"Cities, class 3",781,392
August,1918,"Cities, class 4",295,148
August,1918,"Cities, class 5",247,145
September,1918,Indiana (statewide),4975,2614
September,1918,Northern counties,1922,941
September,1918,Central counties,1957,1163
September,1918,Southern counties,1096,510
September,1918,Urban,2189,1241
September,1918,Rural,2786,1373
September,1918,"Cities, class 1",521,315
September,1918,"Cities, class 2",498,269
September,1918,"Cities, class 3",649,354
September,1918,"Cities, class 4",282,163
September,1918,"Cities, class 5",239,140
October,1918,Indiana (statewide),4823,5889
October,1918,Northern counties,1905,2276
October,1918,Central counties,1869,2544
October,1918,Southern counties,1049,1069
October,1918,Urban,2183,3000
October,1918,Rural,2640,2889
October,1918,"Cities, class 1",508,748
October,1918,"Cities, class 2",442,636
October,1918,"Cities, class 3",726,1028
October,1918,"Cities, class 4",261,286
October,1918,"Cities, class 5",246,302
November,1918,Indiana (statewide),4209,4798
November,1918,Northern counties,1727,1681
November,1918,Central counties,1569,1993
November,1918,Southern counties,913,1124
November,1918,Urban,1985,2487
November,1918,Rural,2224,2311
November,1918,"Cities, class 1",437,586
November,1918,"Cities, class 2",450,584
November,1918,"Cities, class 3",643,728
November,1918,"Cities, class 4",260,319
November,1918,"Cities, class 5",195,270
December,1918,Indiana (statewide),4394,5366
December,1918,Northern counties,1636,1954
December,1918,Central counties,1770,2225
December,1918,Southern counties,988,1187
December,1918,Urban,1980,2691
December,1918,Rural,2414,2675
December,1918,"Cities, class 1",439,517
December,1918,"Cities, class 2",432,606
December,1918,"Cities, class 3",625,807
December,1918,"Cities, class 4",249,439
December,1918,"Cities, class 5",235,324
