Month,Year,Region,Births,Total Deaths
January,1919,Indiana (statewide),4634,4078
January,1919,Northern counties,1758,1394
January,1919,Central counties,1815,1771
January,1919,Southern counties,1061,913
January,1919,Urban,2122,1807
January,1919,Rural,2512,2271
January,1919,"Cities, class 1",524,443
January,1919,"Cities, class 2",590,426
January,1919,"Cities, class 3",530,450
January,1919,"Cities, class 4",231,230
January,1919,"Cities, class 5",247,256
February,1919,Indiana (statewide),4339,3425
February,1919,Northern counties,1708,1157
February,1919,Central counties,1675,1497
February,1919,Southern counties,956,771
February,1919,Urban,1948,1621
February,1919,Rural,2391,1804
February,1919,"Cities, class 1",440,428
February,1919,"Cities, class 2",539,451
February,1919,"Cities, class 3",525,395
February,1919,"Cities, class 4",227,172
February,1919,"Cities, class 5",217,175
March,1919,Indiana (statewide),5006,4471
March,1919,Northern counties,2010,1502
March,1919,Central counties,1962,1979
March,1919,Southern counties,1034,990
March,1919,Urban,2367,2061
March,1919,Rural,2639,2410
March,1919,"Cities, class 1",513,558
March,1919,"Cities, class 2",690,512
March,1919,"Cities, class 3",633,550
March,1919,"Cities, class 4",316,240
March,1919,"Cities, class 5",215,201
April,1919,Indiana (statewide),4581,3142
April,1919,Northern counties,1757,1200
April,1919,Central counties,1783,1344
April,1919,Southern counties,1041,598
April,1919,Urban,2057,1499
April,1919,Rural,2524,1643
April,1919,"Cities, class 1",486,353
April,1919,"Cities, class 2",525,379
April,1919,"Cities, class 3",538,437
April,1919,"Cities, class 4",272,169
April,1919,"Cities, class 5",236,161
May,1919,Indiana (statewide),4459,2670
May,1919,Northern counties,1751,939
May,1919,Central counties,1744,1178
May,1919,Southern counties,964,553
May,1919,Urban,2058,1236
May,1919,Rural,2401,1434
May,1919,"Cities, class 1",428,302
May,1919,"Cities, class 2",561,341
May,1919,"Cities, class 3",589,322
May,1919,"Cities, class 4",253,141
May,1919,"Cities, class 5",227,130
June,1919,Indiana (statewide),4174,2287
June,1919,Northern counties,1621,823
June,1919,Central counties,1645,965
June,1919,Southern counties,908,499
June,1919,Urban,1917,1040
June,1919,Rural,2257,1247
June,1919,"Cities, class 1",432,264
June,1919,"Cities, class 2",523,292
June,1919,"Cities, class 3",517,249
June,1919,"Cities, class 4",232,127
June,1919,"Cities, class 5",213,108
July,1919,Indiana (statewide),4372,2647
July,1919,Northern counties,1697,905
July,1919,Central counties,1732,1160
July,1919,Southern counties,943,582
July,1919,Urban,1958,1241
July,1919,Rural,2414,1406
July,1919,"Cities, class 1",463,318
July,1919,"Cities, class 2",527,311
July,1919,"Cities, class 3",526,309
July,1919,"Cities, class 4",232,160
July,1919,"Cities, class 5",210,143
August,1919,Indiana (statewide),4353,2388
August,1919,Northern counties,1681,792
August,1919,Central counties,1740,1069
August,1919,Southern counties,932,527
August,1919,Urban,1966,1156
August,1919,Rural,2387,1232
August,1919,"Cities, class 1",464,283
August,1919,"Cities, class 2",551,314
August,1919,"Cities, class 3",536,319
August,1919,"Cities, class 4",192,133
August,1919,"Cities, class 5",223,107
September,1919,Indiana (statewide),4599,2364
September,1919,Northern counties,1779,849
September,1919,Central counties,1781,1015
September,1919,Southern counties,1039,500
September,1919,Urban,2079,1122
September,1919,Rural,2520,1242
September,1919,"Cities, class 1",463,264
September,1919,"Cities, class 2",580,295
September,1919,"Cities, class 3",594,279
September,1919,"Cities, class 4",213,153
September,1919,"Cities, class 5",229,131
October,1919,Indiana (statewide),5091,2503
October,1919,Northern counties,1859,870
October,1919,Central counties,2037,1130
October,1919,Southern counties,1195,503
October,1919,Urban,2385,1163
October,1919,Rural,2706,1340
October,1919,"Cities, class 1",561,280
October,1919,"Cities, class 2",628,274
October,1919,"Cities, class 3",626,314
October,1919,"Cities, class 4",310,162
October,1919,"Cities, class 5",260,133
November,1919,Indiana (statewide),4851,2588
November,1919,Northern counties,1873,933
November,1919,Central counties,1948,1081
November,1919,Southern counties,1030,574
November,1919,Urban,2313,1241
November,1919,Rural,2538,1347
November,1919,"Cities, class 1",518,280
November,1919,"Cities, class 2",602,354
November,1919,"Cities, class 3",636,331
November,1919,"Cities, class 4",287,147
November,1919,"Cities, class 5",270,129
December,1919,Indiana (statewide),5197,2931
December,1919,Northern counties,2019,1026
December,1919,Central counties,2095,1288
December,1919,Southern counties,1083,617
December,1919,Urban,2397,1363
December,1919,Rural,2800,1568
December,1919,"Cities, class 1",517,364
December,1919,"Cities, class 2",657,365
December,1919,"Cities, class 3",631,334
December,1919,"Cities, class 4",293,170
December,1919,"Cities, class 5",299,130
