Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
October,1899,"Indiana (statewide)",2645138,172,211,314,...,98,14,14,1,5,93,...,135,54,...,10,8,87,...,135,...
October,1899,"Northern counties",,,,,,,,,,,,,,,,,,,,,
October,1899,"Central counties",,,,,,,,,,,,,,,,,,,,,
October,1899,"Southern counties",,,,,,,,,,,,,,,,,,,,,
October,1899,Urban,787890,65,66,80,...,43,4,5,0,2,41,...,46,24,...,3,1,28,...,55,...
October,1899,Rural,1857248,107,145,234,...,55,10,9,1,3,52,...,89,30,...,7,7,59,...,80,...
October,1899,"Cities, class 1",192189,16,17,21,...,5,2,4,0,1,12,...,6,3,...,1,0,5,...,18,...
October,1899,"Cities, class 2",114824,8,7,8,...,5,0,0,0,0,8,...,7,3,...,0,0,7,...,7,...
October,1899,"Cities, class 3",210866,21,19,25,...,22,0,0,0,0,4,...,13,10,...,0,0,7,...,13,...
October,1899,"Cities, class 4",140568,8,11,13,...,2,0,0,0,0,8,...,10,5,...,1,0,7,...,5,...
October,1899,"Cities, class 5",129443,12,12,13,...,9,2,1,0,1,9,...,10,3,...,1,1,2,...,12,...
November,1899,"Indiana (statewide)",2645138,269,18,199,...,111,17,12,0,11,145,...,64,37,...,7,7,79,...,124,...
November,1899,"Northern counties",,,,,,,,,,,,,,,,,,,,,
November,1899,"Central counties",,,,,,,,,,,,,,,,,,,,,
November,1899,"Southern counties",,,,,,,,,,,,,,,,,,,,,
November,1899,Urban,787890,104,12,46,...,52,4,5,0,6,49,...,17,13,...,4,3,33,...,48,...
November,1899,Rural,1857248,165,6,153,...,59,13,7,0,5,96,...,47,24,...,3,4,46,...,76,...
November,1899,"Cities, class 1",192189,37,2,13,...,12,0,1,0,3,13,...,4,4,...,1,1,9,...,12,...
