id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
1,1,1918,indiana,2911665,262,36,17,65,...,...,22,8,45,470,56,...,3,2,68,28,215,156,...,3
2,1,1918,northern_counties,1016514,70,5,5,25,...,...,8,3,24,162,27,...,1,0,20,9,91,50,...,1
3,1,1918,central_counties,1208708,118,21,7,29,...,...,8,2,11,205,20,...,2,1,24,9,92,75,...,2
4,1,1918,southern_counties,686443,74,10,5,11,...,...,6,3,10,103,9,...,0,1,24,10,32,31,...,0
5,1,1918,urban,1210486,121,21,7,29,...,...,7,3,16,242,32,...,3,0,18,18,104,92,...,3
6,1,1918,rural,1701179,141,15,10,36,...,...,15,5,29,228,24,...,0,2,50,10,111,64,...,0
7,1,1918,class_1_cities,289577,31,10,1,11,...,...,3,0,1,68,8,...,1,0,2,3,30,33,...,1
8,1,1918,class_2_cities,299257,27,5,4,6,...,...,0,0,3,59,6,...,1,0,3,8,22,21,...,0
9,1,1918,class_3_cities,320018,35,1,1,9,...,...,0,2,10,69,14,...,1,0,7,4,26,26,...,2
10,1,1918,class_4_cities,165854,13,3,1,0,...,...,3,1,0,27,4,...,0,0,2,1,14,3,...,0
11,1,1918,class_5_cities,135780,15,2,0,3,...,...,1,0,2,19,0,...,0,0,4,2,12,9,...,0
12,2,1918,indiana,2911665,292,50,16,45,...,...,17,12,51,349,69,...,3,0,64,26,200,203,...,7
13,2,1918,northern_counties,1016514,90,11,5,15,...,...,6,4,16,109,50,...,0,0,20,2,89,70,...,1
14,2,1918,central_counties,1208708,108,29,1,22,...,...,8,5,20,151,11,...,1,0,25,20,69,99,...,3
15,2,1918,southern_counties,686443,94,10,10,8,...,...,3,3,15,89,8,...,2,0,19,4,42,34,...,3
16,2,1918,urban,1210486,137,25,7,22,...,...,9,4,19,189,53,...,2,0,17,10,94,106,...,3
17,2,1918,rural,1701179,155,25,9,23,...,...,8,8,32,160,16,...,1,0,47,16,106,97,...,4
18,2,1918,class_1_cities,289577,29,9,1,6,...,...,3,1,4,54,2,...,1,0,0,2,20,25,...,1
19,2,1918,class_2_cities,299257,29,1,1,5,...,...,0,0,2,47,4,...,0,0,3,5,27,24,...,0
20,2,1918,class_3_cities,320018,40,8,4,10,...,...,1,1,8,45,36,...,1,0,9,1,25,41,...,1
21,2,1918,class_4_cities,165854,22,5,1,0,...,...,1,1,3,25,0,...,0,0,3,1,7,8,...,0
22,2,1918,class_5_cities,135780,17,2,0,1,...,...,4,1,2,18,11,...,0,0,2,1,15,8,...,1
23,3,1918,indiana,2911665,360,52,23,42,...,...,18,20,77,458,95,...,6,2,67,32,253,236,...,2
24,3,1918,northern_counties,1016514,96,15,16,16,...,...,8,5,23,148,63,...,1,0,21,11,104,103,...,1
25,3,1918,central_counties,1208708,156,22,3,19,...,...,10,7,29,199,25,...,5,1,23,18,107,84,...,1
26,3,1918,southern_counties,686443,108,15,4,7,...,...,0,8,25,111,7,...,0,1,23,3,42,49,...,0
27,3,1918,urban,1210486,152,25,17,18,...,...,12,10,37,251,70,...,4,0,26,22,116,128,...,2
28,3,1918,rural,1701179,208,27,6,24,...,...,6,10,40,207,25,...,2,2,41,10,137,108,...,0
29,3,1918,class_1_cities,289577,46,6,1,5,...,...,5,1,9,67,8,...,3,0,2,10,28,20,...,0
30,3,1918,class_2_cities,299257,40,3,3,2,...,...,2,3,3,61,9,...,0,0,7,4,27,31,...,1
31,3,1918,class_3_cities,320018,36,12,10,7,...,...,1,3,14,81,40,...,1,0,14,3,25,48,...,0
32,3,1918,class_4_cities,165854,20,3,1,1,...,...,4,3,5,25,7,...,0,0,2,3,14,13,...,1
33,3,1918,class_5_cities,135780,10,1,2,3,...,...,0,0,6,17,6,...,0,0,1,2,22,16,...,0
34,4,1918,indiana,2911665,383,66,26,47,...,...,17,29,108,556,72,...,11,1,126,29,194,207,...,3
35,4,1918,northern_counties,1016514,98,13,11,15,...,...,6,8,20,233,42,...,1,1,48,7,70,82,...,1
36,4,1918,central_counties,1208708,183,36,9,26,...,...,10,11,63,225,25,...,8,0,44,16,85,84,...,1
37,4,1918,southern_counties,686443,102,17,6,6,...,...,1,10,25,98,5,...,2,0,34,6,39,41,...,1
38,4,1918,urban,1210486,183,35,14,32,...,...,10,9,49,364,57,...,8,0,66,19,94,122,...,1
39,4,1918,rural,1701179,200,31,12,15,...,...,7,20,59,192,15,...,3,1,60,10,100,85,...,2
40,4,1918,class_1_cities,289577,53,11,0,9,...,...,8,1,10,100,14,...,4,0,7,2,19,24,...,0
41,4,1918,class_2_cities,299257,52,6,2,7,...,...,0,1,13,76,6,...,3,0,22,4,29,29,...,0
42,4,1918,class_3_cities,320018,37,10,10,9,...,...,1,4,11,125,27,...,1,0,22,7,27,47,...,0
43,4,1918,class_4_cities,165854,20,4,1,3,...,...,1,2,7,34,1,...,0,0,8,3,11,9,...,1
44,4,1918,class_5_cities,135780,21,4,1,4,...,...,0,2,8,29,9,...,0,0,7,3,8,13,...,0
45,5,1918,indiana,2911665,292,60,19,25,...,...,10,26,59,270,56,...,4,2,51,22,185,198,...,3
46,5,1918,northern_counties,1016514,81,19,7,8,...,...,3,8,15,103,25,...,1,2,20,8,73,76,...,1
47,5,1918,central_counties,1208708,144,27,7,15,...,...,6,8,29,119,18,...,3,0,26,3,81,82,...,0
